chapter,line,stanza,english
14,14,4,"Hold the ancient Tao, and steer what is present now."
14,15,4,"Know the primordial source,"
14,16,4,The thread of the Tao.
15,1,1,The ancient masters
15,2,1,Were subtle-fine and dark-penetrating —
15,3,1,Too deep to be fathomed.
15,4,1,"Because they cannot be known, I can only force a description:"
15,5,2,"Careful, like crossing a frozen river."
15,6,2,"Watchful, aware of danger from all sides."
15,7,2,"Dignified, like a guest."
15,8,2,"Yielding, like melting ice."
15,9,2,"Sturdy, like uncarved wood."
15,10,2,"Expansive, like a valley."
15,11,2,"Mixed, like muddy water."
15,12,3,"Who can be like muddy water, then sit and gradually become clear?"
15,13,3,"Who can be still, then move in ways that gradually stir life?"
15,14,4,One who holds the Tao has no desire to be full.
15,15,4,"Because they don’t seek to become full,"
15,16,4,"They can become weathered, and have no interest in appearing new."
16,1,1,Attain emptiness.
16,2,1,Embrace stillness.
16,3,1,"The countless things arise together,"
16,4,1,"Relying upon this, I observe their return."
16,5,2,"Multitudes flourish,"
16,6,2,Each returns energy to its root.
16,7,2,Returning to the root is called stillness.
16,8,2,This is called returning to what was given.
16,9,2,Returning to what was given is called the ever-present.
16,10,2,Knowing the ever-present is called clear-seeing.
16,11,3,Not knowing the ever-present brings reckless action and disaster.
16,12,4,Knowing the ever-present creates the capacity to embrace the totality.
16,13,4,Embracing all leads to impartiality.
16,14,4,Impartiality leads to sovereignty.
16,15,4,Sovereignty leads to the open sky.
16,16,4,The open sky leads to the Tao.
16,17,4,The Tao leads to the enduring.
16,18,4,Not even death threatens this.
17,1,1,"About the greatest leaders, little is known."
17,2,1,Good leaders are widely loved and praised.
17,3,1,Poor leaders are feared.
17,4,1,The worst leaders are despised by all.
17,5,2,"When leaders don’t trust the people, no one trusts the leaders."
17,6,3,The greatest leaders speak sparingly.
17,7,3,"When their work is done,"
17,8,3,"The people all say, “We did this by ourselves.”"
18,1,1,"When the great Tao is discarded, humaneness and duty appear."
18,2,1,"When cleverness and erudition arise, great hypocrisy appears."
18,3,1,"When kin are out of harmony, devotion and tenderness appear."
18,4,1,"When nations fall into chaos, loyal ministers appear."
19,1,1,"Cut off sagehood, abandon cleverness, and the people benefit a hundredfold."
19,2,1,"Cut off humaneness, abandon duty, and the people return to devotion and tenderness."
19,3,1,"Cut off cunning, abandon profit, and there are no thieves."
19,4,2,"These three, taken as cultural form, are not enough."
19,5,2,So give them something to belong to:
19,6,2,"see the undyed silk, embrace the uncarved wood,"
19,7,2,"diminish the self, diminish desire."
20,1,1,Cut off learning and there is no worry.
20,2,2,"Between a respectful yes and a careless yeah,"
20,3,2,how much distance?
20,4,2,"Between good and bad,"
20,5,2,how far apart?
20,6,2,What people fear must be feared.
20,7,2,"How wild it is, and without end!"
20,8,3,"The crowd is merry, as if at a great feast,"
20,9,3,as if climbing a terrace in spring.
20,10,3,"I alone am moored, and show no sign,"
20,11,3,"like an infant who has not yet learned to smile,"
20,12,3,"listless, as if with nowhere to return."
20,13,4,The crowd all have more than enough.
20,14,4,I alone seem to have missed out.
20,15,4,I have the heart of a fool!
20,16,4,How muddled!
20,17,4,The worldly are bright. I alone am dark.
20,18,4,The worldly are sharp. I alone am dull.
20,19,5,"Calm, like the sea."
20,20,5,"Blown along, as if never stopping."
20,21,6,The crowd all have something to use themselves for.
20,22,6,"I alone am stubborn, and look coarse."
20,23,6,I alone differ from others:
20,24,6,I prize feeding from the mother.
21,1,1,The greatest integrity simply follows the Tao.
21,2,1,"Whatever the Tao is, it is only vague, only elusive."
21,3,1,"Elusive and vague, and within it there is an image."
21,4,1,"Vague and elusive, and within it there is a thing."
21,5,1,"Deep and dim, and within it there is vital essence."
21,6,1,"Its essence utterly real, and within it there is trust."
21,7,2,"From ancient times until today, the Tao's name has never been erased."
21,8,2,"In this name, I observe the origin of the many."
21,9,2,"How do I know the origin of the many is so? By this, here, now."
22,1,1,"Bend, and stay whole. Be wronged, and be made straight."
22,2,1,"Be hollowed out, and be filled. Be worn out, and be renewed."
22,3,1,Hold little and gain. Hold much and be confused.
22,4,2,Therefore the sage embraces one thing and sets a pattern for the world.
22,5,3,"They do not show themselves off, and so they see clearly."
22,6,3,"They do not insist they are right, and so their rightness shows."
22,7,3,"They do not claim the work, and so the work is theirs."
22,8,3,"They do not make themselves great, and so they endure."
22,9,4,"Because they do not contend, no one in the world can contend with them."
22,10,4,"When the ancients said ""bend, and stay whole,"" were those empty words?"
22,11,4,These words hold. Return to them. Stay whole.
23,1,1,"Speak sparingly, for things go of themselves."
23,2,1,Therefore a squall doesn’t last all morning. Torrential rain doesn’t last all day.
23,3,1,Who acts this way? Sky and earth.
23,4,1,"If sky and earth can’t sustain intensity for long, how much less can we?"
23,5,2,"Therefore, the one who aligns their actions with the Tao merges with the Tao,"
23,6,2,"Whoever acts with profound integrity merges with profound integrity,"
23,7,2,Whoever loses merges with the loss.
23,8,3,"Those merged with the Tao, the Tao gladly receives."
23,9,3,"Those merged with profound integrity, profound integrity gladly receives."
23,10,3,"Those merged with loss, loss gladly receives."
23,11,3,"Where trust is withheld, trust is withheld in return."
24,1,1,Those who stand on tiptoe do not stand.
24,2,1,Those who take long strides get nowhere.
24,3,2,Those who show themselves off do not see clearly.
24,4,2,Those who insist they are right convince no one.
24,5,2,Those who claim the work have none.
24,6,2,Those who make themselves great do not endure.
24,7,3,"Measured by the Tao, these are called leftover food and wasted motion."
24,8,3,Living things recoil from them.
24,9,3,Those who are with the Tao do not dwell among them.
25,1,1,"Something formed in the undifferentiated, born before sky and earth."
25,2,1,Silent. Empty. Solitary. Unchanging.
25,3,1,"Inexhaustible, it can be considered the mother of the world."
25,4,2,"Its true name, I will never know. Forcing a label upon it, I call it the Tao."
25,5,2,"Forcing a description for it, I call it the vast."
25,6,3,"The vast means expanding, expanding means going far, going far means returning."
25,7,4,"Therefore, the Tao is vast, the sky is vast, the earth is vast, and humans are also vast."
25,8,4,"Within all bounds there are four vast things, and one of them is human."
25,9,5,"Humans model themselves on the earth,"
25,10,5,"Earth models itself on the sky,"
25,11,5,"The sky models itself on the Tao,"
25,12,5,The Tao models itself on being what it is.
26,1,1,The heavy is the root of the ungrounded.
26,2,1,Silence is the ruler of the agitated.
26,3,2,"Therefore, the sage travels all day without becoming disconnected from sustenance."
26,4,2,"Even when the sights are glorious, their equanimity is undisturbed."
26,5,3,How could a great ruler become ungrounded in their being?
26,6,3,To become ungrounded is to lose connection with one’s roots.
26,7,3,To become agitated is to lose one’s mastery.
27,1,1,Masterful traveling leaves no tracks.
27,2,1,Masterful speaking is flawless.
27,3,1,Masterful calculating uses no abacus.
27,4,1,"Masterful security uses no locks, yet cannot be breached."
27,5,1,"Masterful tying uses no ropes, yet cannot be untied."
27,6,2,"Therefore the sage is always masterful at rescuing people, and so no one is abandoned."
27,7,2,"Always masterful at rescuing things, and so nothing is abandoned."
27,8,2,This is called inherited clarity.
27,9,3,"Therefore, the masterful one naturally teaches the novice."
27,10,3,And the novice is the raw material of the master.
27,11,4,Not valuing the master and not loving their raw material is a sign of great confusion.
27,12,4,Even those who appear intelligent are lost. This is the essential secret.
28,1,1,"To know assertive energy, we must attune to yielding energy,"
28,2,1,Embody the deep ravine of the world.
28,3,1,Embodying the deep ravine of the world — this is where integrity accumulates without leaving.
28,4,1,Become like an infant again.
28,5,2,"To know light, we must attune to darkness."
28,6,2,Embody the pattern of the world.
28,7,2,Embodying the pattern of the world — this is how integrity manifests without deviation.
28,8,2,Return to the limitless.
28,9,3,"To know glory, we must welcome disgrace."
28,10,3,Embody the reservoir of the world.
28,11,3,"Embodying the reservoir of the world, integrity is abundant."
28,12,3,Return to the uncarved wood.
28,13,4,"When the uncarved wood is carved, it is made into various tools."
28,14,4,The sage uses them as the master orchestrator.
28,15,4,"Therefore, the great orchestrator itself does not carve."
29,1,1,Those who wish to force their will upon the world — I see that this cannot be done.
29,2,1,The world is a sacred vessel. It cannot be forced. It cannot be grasped.
29,3,1,Those who force it ruin it. Those who grasp it lose it.
29,4,2,"Therefore, sometimes leading, sometimes following,"
29,5,2,"Sometimes breathing heavily, sometimes breathing easily,"
29,6,2,"Sometimes strong, sometimes weak,"
29,7,2,"Sometimes safe, sometimes imperiled."
29,8,3,"Therefore the sage removes the extreme, the extravagant, the excessive."
30,1,1,One who rules in alignment with the Tao does not use military force to dominate the world.
30,2,1,Such undertakings tend to come back on you.
30,3,1,"Where armies camp, thorns and brambles grow."
30,4,1,"After a big military campaign, a year of disaster follows."
30,5,2,The masterful one halts after succeeding and never pushes on to seize dominance.
30,6,2,"They succeed without boasting, succeed without bragging, succeed without arrogance."
30,7,2,They succeed because their actions are unavoidable. They succeed without using excessive force.
30,8,3,"When things reach their prime, they decay."
30,9,3,This is called not-Tao. Not-Tao comes to an early end.
31,1,1,Understand that even the most finely-crafted weapons truly are instruments of ill omen.
31,2,1,Living things recoil from them.
31,3,1,Those who are with the Tao do not dwell among them.
31,4,2,"In times of peace, the sage chooses creation. When the military must be used, they choose destruction."
31,5,2,Weapons are tools of ill omen. They are not the tools of the sage.
31,6,2,"When the circumstances are unavoidable, calm detachment is essential."
31,7,3,"Achieve victory, but don’t revel in it."
31,8,3,To glorify battle is to rejoice in killing people.
31,9,3,Understand that whomever rejoices in killing people cannot achieve their purpose in the world.
31,10,4,Auspicious occasions honor the left; inauspicious occasions honor the right.
31,11,4,"The lieutenant general stands on the left, the supreme commander on the right,"
31,12,4,which is to say they are placed by the rites of mourning.
31,13,4,"When many have been killed, weep for them with sorrow and grief."
31,14,4,A victory in battle should be treated like a funeral rite.
32,1,1,"The Tao is ever nameless, uncarved."
32,2,1,"Though small, nothing in the world can make it a subject."
32,3,1,"If rulers hold it, the countless things align with it of themselves."
32,4,1,Sky and earth join together to send down sweet dew.
32,5,1,"Without any external command, the people naturally harmonize."
32,6,2,"Once there is cutting, there are names."
32,7,2,"Since names already exist, one must know when to stop."
32,8,2,"Knowing when to stop, one avoids depletion."
32,9,3,"In this world, with its high streams and valleys, the Tao is like the river and the deep sea."
33,1,1,One who knows others is intelligent.
33,2,1,One who knows themselves sees clearly.
33,3,2,One who overcomes others has force.
33,4,2,One who overcomes themselves is strong.
33,5,3,One who knows they have enough is wealthy.
33,6,3,One who forces themselves onward has will.
33,7,4,"One who does not lose their rootedness, endures."
33,8,4,One who dies but does not perish has long life.
34,1,1,The great Tao overflows to the left and to the right.
34,2,1,"The countless things rely on it to live, yet it refuses none."
34,3,1,It works without claiming to be the owner.
34,4,2,"The Tao clothes and nourishes the countless things, yet it claims no ownership."
34,5,2,"Ever desireless, it can be called small."
34,6,2,"The countless things return to it. Without acting as their master, it can be called great."
34,7,3,"It never makes itself great,"
34,8,3,and so completes its greatness.
35,1,1,"Embody the great form, and the world routes to you."
35,2,1,"This route is free of harm. It offers safety, peace, and stability."
35,3,1,The allure of music and fine food causes passing guests to stop.
35,4,2,Attempt to speak the Tao. It is bland and flavorless.
35,5,2,Look for it. It can’t be seen.
35,6,2,Listen for it. It can’t be heard.
35,7,2,Use it. It is inexhaustible.
36,1,1,Contraction requires firm expansion.
36,2,1,Weakening requires firm strengthening.
36,3,1,Abolishing requires firm elevation.
36,4,1,Removing requires firm giving.
36,5,2,This is called subtle clarity.
36,6,2,The soft and yielding overcome the hard and strong.
36,7,3,Fish cannot detach from the deep abyss.
36,8,3,The sharp instruments of the state must not be shown to others.
37,1,1,"The Tao is ever non-doing, yet nothing is left undone."
37,2,1,"If rulers are able to hold to this, the countless things will transform of themselves."
37,3,2,"When the countless things urge action, I will stabilize them with the nameless uncarved wood."
37,4,2,The nameless uncarved wood is without desire.
37,5,3,"Relinquishing desire, being still, the world rights itself."
38,1,1,"The highest integrity isn’t concerned with integrity, therefore it has integrity."
38,2,1,"Lesser integrity clutches at integrity, therefore it lacks integrity."
38,3,1,The highest integrity takes no action and has no deliberate motive.
38,4,1,Lesser integrity takes action and has a deliberate motive.
38,5,2,Ultimate humaneness takes action yet has no deliberate motive.
38,6,2,Ultimate duty takes action and has a deliberate motive.
38,7,2,"Ultimate ritualism takes action, and when no one responds, it bares its arms and forces them."
38,8,3,"Therefore, when the Tao is lost, there is pure integrity."
38,9,3,"When integrity is lost, there is humaneness."
38,10,3,"When humaneness is lost, there is duty."
38,11,3,"When duty is lost, there is ritual."
38,12,3,"Ritual is the thinning of loyalty and trust, and the beginning of disorder."
38,13,3,Predicting the future is the flowery imitation of the Tao and the beginning of foolishness.
38,14,4,"Therefore, the mature person dwells in the thickness of being, not in its thinness,"
38,15,4,"Dwells in life’s fruit, not in flowery display,"
38,16,4,Rejects surfaces and embraces life’s thickness.
39,1,1,"From the very beginning, these things draw from the one:"
39,2,1,The sky draws from the one and becomes clear.
39,3,1,Earth draws from the one and becomes solid.
39,4,1,Spirit draws from the one and becomes vital.
39,5,1,Valleys draw from the one and become lush.
39,6,1,The countless things draw from the one and come into being.
39,7,1,Rulers draw from the one and become true anchors for the world.
39,8,2,These are the natural consequences:
39,9,2,"If the sky lacked clarity, it would be obliterated."
39,10,2,"If the earth lacked solidity, it would disintegrate."
39,11,2,"If spirit lacked vitality, it would fade away."
39,12,2,"If valleys lacked lushness, they would dry up."
39,13,2,"If the countless things lacked presence, they would cease to exist."
39,14,2,"If rulers lost their anchoring, they would fall."
39,15,3,"Therefore, the noble is rooted in the humble."
39,16,3,The high is grounded in the low.
39,17,3,"This is why rulers call themselves orphaned, meager, and unworthy."
39,18,3,Isn’t this recognizing the lowly as the root? Isn’t it?
39,19,4,"Therefore, the highest praise is to have no praise."
39,20,4,Don’t strive to chime and shine like polished jade.
39,21,4,"Instead, clatter and remain rough like common stone."
40,1,1,Returning is the Tao’s movement;
40,2,1,Yielding is the Tao’s use.
40,3,1,The countless things of the world are born from presence;
40,4,1,Presence is born from absence.
41,1,1,The highest student hears the Tao and practices it with diligence.
41,2,1,"The average student hears the Tao and keeps some, forgets some."
41,3,1,The lowest student hears the Tao and laughs aloud at it.
41,4,1,"If it weren’t laughed at, the Tao wouldn’t be what it is."
41,5,2,"Therefore, it is said:"
41,6,2,"Bright Tao seems dark, advancing Tao seems to retreat, smooth Tao seems rough."
41,7,2,"The highest integrity seems like a valley, and true purity seems soiled."
41,8,2,"Vast integrity seems insufficient, well-founded integrity seems slack, and the most solid truth seems to waver."
41,9,3,"The great square has no corners, the great vessel is never completed,"
41,10,3,"The great sound can barely be heard, the great image has no form."
41,11,4,The Tao is hidden and nameless.
41,12,4,Yet the Tao alone masterfully provides for the countless things and brings them to completion.
42,1,1,"The Tao births the one, the one births the two, the two births the three, the three births the countless things."
42,2,1,"The countless things carry yin on their backs and embrace yang with their arms, blending the vital breath into harmony."
42,3,2,"What most people hate is to be called orphaned, meager, or unworthy,"
42,4,2,Yet rulers and lords take these very descriptions for themselves.
42,5,3,"For so it is: what is decreased is thereby increased, and what is increased is thereby decreased."
42,6,4,"What others teach, I also teach:"
42,7,4,The strong and rigid do not die a natural death.
42,8,4,I take this as the root of learning.
43,1,1,The softest thing in the world gallops over the hardest thing in the world.
43,2,1,The formless enters the seamless.
43,3,1,This is how I know the benefit of non-doing.
43,4,2,"The wordless teaching, the benefit of non-doing —"
43,5,2,few ever reach this.
44,1,1,Reputation or your self — which is dearer?
44,2,1,Your self or wealth — which is worth more?
44,3,1,Gain or loss — which does more harm?
44,4,2,"Therefore, extreme attachment inevitably brings great cost"
44,5,2,And hoarding inevitably brings heavy loss.
44,6,3,"Know when you have enough, and you are never disgraced."
44,7,3,"Know when to stop, and you avoid depletion."
44,8,3,And so you can last long.
45,1,1,"Great completeness seems deficient, yet when used, it never wears out."
45,2,1,"Great fullness seems empty, yet when used, it never runs dry."
45,3,2,Great straightness seems crooked.
45,4,2,Great skill seems clumsy.
45,5,2,Great eloquence seems awkward.
45,6,3,Movement overcomes cold; stillness overcomes heat.
45,7,3,Clear stillness brings order to the world.
46,1,1,"When the world embraces the Tao, swift horses are retired to work the fields."
46,2,1,"When the world lacks the Tao, war horses are bred in the borderlands."
46,3,2,"There is no greater disaster than discontent,"
46,4,2,No greater fault than craving to acquire.
46,5,2,And so the contentment of knowing you have enough is ever-present contentment.
47,1,1,"Without leaving home, you know the whole world."
47,2,1,"Without looking out the window, you see the way of nature."
47,3,1,"The further out you venture, the less you know."
47,4,2,"Therefore, the sage knows without venturing,"
47,5,2,"understands clearly without seeing,"
47,6,2,and accomplishes without acting.
48,1,1,"In pursuit of learning, you increase daily;"
48,2,1,"in pursuit of the Tao, you decrease daily."
48,3,1,"Decreasing and decreasing, until you reach non-doing."
48,4,1,"Non-doing, yet nothing is left undone."
48,5,2,The world always comes to you by not meddling with it.
48,6,2,"The moment you meddle, it stops coming."
49,1,1,The sage has no fixed heart;
49,2,1,they take the heart of the people as their own.
49,3,2,"The masterful, I count as masterful;"
49,4,2,"the unmasterful, I count as masterful too."
49,5,2,Integrity is mastery.
49,6,3,"The trustworthy, I trust;"
49,7,3,"the untrustworthy, I trust as well."
49,8,3,Integrity is trust.
49,9,4,"In the world, the sage breathes gently;"
49,10,4,"for the sake of the world, they let their heart go muddy."
49,11,4,"The people pour out their attention, all eyes and ears;"
49,12,4,the sage sees them pure as infants.
50,1,1,"Emerge into life, enter into death."
50,2,2,Three in ten people are followers of life.
50,3,2,Three in ten are followers of death.
50,4,2,"Three in ten, though alive, move toward deadly ground."
50,5,2,Why? Because they cling too tightly to life.
50,6,3,It’s been said that one who truly tends life
50,7,3,"can travel the land without meeting rhinos or tigers,"
50,8,3,and can enter into battle unharmed by weapons.
50,9,3,"The rhino’s horn has nowhere to thrust,"
50,10,3,"the tiger’s claws have nowhere to tear into,"
50,11,3,the weapon blades have nothing to cut.
50,12,4,Why? Because they give death no foothold.
51,1,1,"The Tao gives birth to the countless things, integrity rears them,"
51,2,1,"matter forms them, circumstance completes them."
51,3,1,"Therefore the countless things, without exception, revere the Tao and value integrity."
51,4,1,"This reverence for the Tao, this valuing of integrity — no one commands it."
51,5,1,"It is always so, of itself."
51,6,2,"Thus, the Tao births the countless things and integrity rears them,"
51,7,2,"grows and raises them, settles and matures them, nourishes and protects them."
51,8,2,"Giving birth without possessing,"
51,9,2,"acting yet relying on nothing,"
51,10,2,leading without mastering –
51,11,2,this is called profound integrity.
52,1,1,"The world has an origin, which serves as the mother of the world."
52,2,1,"Find our mother, and you know her children."
52,3,1,"Know her children, return and hold fast to our mother,"
52,4,1,"and to the end of your days, no harm will come to you."
52,5,2,"Block the openings, close the doors, and all your life will be struggle-free."
52,6,2,"Open the openings, multiply your affairs, and your life is beyond saving."
52,7,3,To recognize things in their smallest form is clear-seeing.
52,8,3,To stay with the soft is called strong.
52,9,4,"Use the outer light, return to your inner clarity,"
52,10,4,and you bring no calamity upon yourself.
52,11,5,This is the practice of the ever-present.
53,1,1,"If I had just a scrap of knowledge, walking the path of the great Tao, my only fear would be to stray from it."
53,2,1,"The great Tao is very level, yet people love to take shortcuts."
53,3,2,"The courts are immaculate, the fields are choked with weeds, the granaries are empty;"
53,4,2,"Wearing ornate, colorful clothes, carrying sharp swords, gorged on food and drink, possessing excess wealth and goods —"
53,5,2,This exposes the ringleader of thieves. It is not the Tao\!
54,1,1,What is masterfully planted cannot be uprooted.
54,2,1,What is masterfully embraced cannot slip away.
54,3,1,Descendants will never cease offering sacrifices honoring this.
54,4,2,"Cultivate this in your body, and its integrity becomes authentic."
54,5,2,"Cultivate this in your family, and its integrity becomes abundant."
54,6,2,"Cultivate this in your community, and its integrity becomes long-lasting."
54,7,2,"Cultivate this in your nation, and its integrity becomes bountiful."
54,8,2,"Cultivate this in the world, and its integrity becomes universal."
54,9,3,"Therefore, observe the self through your own self."
54,10,3,Observe the family through your family.
54,11,3,Observe the community through your community.
54,12,3,Observe the nation through your nation.
54,13,3,Observe the world through the world.
54,14,4,How do I know the world is so? By precisely this.
55,1,1,A person with abundant integrity is like a newborn.
55,2,1,"Venomous creatures do not sting them,"
55,3,1,"fierce beasts do not seize them,"
55,4,1,birds of prey do not attack them.
55,5,1,"Their bones are yielding and their muscles soft, yet their grasp is firm."
55,6,1,"They do not yet know the union of female and male, yet their whole being quickens with life — this is vital essence at its utmost."
55,7,1,It cries all day and never goes hoarse — this is harmony at its utmost.
55,8,2,Knowing harmony is called the ever-present.
55,9,2,Knowing the ever-present is called clear-seeing.
55,10,2,To force life to increase is an ill omen.
55,11,2,"When the heart drives the vital energy, that is called strong."
55,12,2,"When things reach their prime, they decay."
55,13,2,This is called not-Tao. Not-Tao comes to an early end.
56,1,1,Those who know do not speak.
56,2,1,Those who speak do not know.
56,3,1,"Block the openings, close the doors."
56,4,1,"Blunt the sharpness, untangle the knots."
56,5,1,"Dim your own light, merge with the dust."
56,6,1,This is called the profound union.
56,7,2,"You cannot draw them near nor hold them off,"
56,8,2,"neither benefit nor harm them,"
56,9,2,neither honor nor debase them.
56,10,2,"And so, they become the most honored in the world."
57,1,1,"Govern the state with uprightness,"
57,2,1,"wage war with surprise,"
57,3,1,and win the world by not meddling.
57,4,1,How do I know this is so? By this:
57,5,1,"The more taboos in the world, the poorer the people become."
57,6,1,"The more sharp weapons the people have, the darker the state becomes."
57,7,1,"The more cunning people become, the more strange contrivances appear."
57,8,1,"The more laws are proclaimed, the more thieves there are."
57,9,2,Therefore the sage says:
57,10,2,"I do not do, and the people transform themselves."
57,11,2,"I love stillness, and the people right themselves."
57,12,2,"I do not meddle, and the people enrich themselves."
57,13,2,"I am desireless, and the people become plain of themselves."
58,1,1,"When the government is dull and undiscerning, the people are pure and honest."
58,2,1,"When the government is sharp and prying, the people turn cunning."
58,3,2,Disaster is what fortune leans on;
58,4,2,fortune is where disaster hides.
58,5,2,Who knows where it ends? It has no fixed norm —
58,6,2,"The straight turns crooked, the good turns monstrous."
58,7,2,People have been lost in this for a very long time.
58,8,3,"Therefore the sage is square but does not cut,"
58,9,3,"sharp but does not wound,"
58,10,3,"straight but does not overreach,"
58,11,3,bright but does not dazzle.
59,1,1,"When governing people and serving nature, nothing compares to conserving."
59,2,1,"Conserving is called returning early,"
59,3,1,"returning early is called a heavy accumulation of integrity,"
