chapter,base_line,base_reading,witness,witness_name,witness_kind,witness_reading,meaning_bearing,our_call,followed,note,logged
19,絕巧棄利，盜賊無有,絕巧棄利,guodian,Guodian bamboo slips,excavated,絕巧棄利,no,base,base,The one couplet of the three that Guodian and the received text share. Its agreement is what makes the other two forks legible as substitutions rather than as a different passage.,notes/manuscript.md
21,道之為物，惟恍惟惚,道之為物,mawangdui-a,Mawangdui silk A,excavated,道之物,no,base,base,"The silks drop 為, leaving 之 as a plain possessive — ""the Tao's thingness"" rather than ""the Tao's being a thing."" Both point at the same sense, so the reading is not in doubt; only the English is. Logged because it settles that the topic of the line is what the Tao amounts to as an entity.",notes/manuscript.md
21,道之為物，惟恍惟惚,道之為物,mawangdui-b,Mawangdui silk B,excavated,道之物,no,base,base,"The silks drop 為, leaving 之 as a plain possessive — ""the Tao's thingness"" rather than ""the Tao's being a thing."" Both point at the same sense, so the reading is not in doubt; only the English is. Logged because it settles that the topic of the line is what the Tao amounts to as an entity.",notes/manuscript.md
21,自古及今，其名不去,自古及今,mawangdui-a,Mawangdui silk A,excavated,自今及古,yes,base,base,"Reverses the direction of the inquiry. Mawangdui makes the chapter start from the present and trace backward; Wang Bi makes it arrive at the present. We render the arrival, which is the movement of the chapter.",notes/manuscript.md
21,自古及今，其名不去,自古及今,mawangdui-b,Mawangdui silk B,excavated,自今及古,yes,base,base,"Reverses the direction of the inquiry. Mawangdui makes the chapter start from the present and trace backward; Wang Bi makes it arrive at the present. We render the arrival, which is the movement of the chapter.",notes/manuscript.md
21,以閱眾甫,閱,mawangdui-a,Mawangdui silk A,excavated,順,yes,base,base,"閱 is to observe; 順 is to follow along with. The chapter closes on a knowledge question (吾何以知), which the epistemic verb fits.",notes/manuscript.md
21,以閱眾甫,閱,mawangdui-b,Mawangdui silk B,excavated,順,yes,base,base,"閱 is to observe; 順 is to follow along with. The chapter closes on a knowledge question (吾何以知), which the epistemic verb fits.",notes/manuscript.md
21,以閱眾甫,甫,mawangdui-a,Mawangdui silk A,excavated,父,no,base,base,"No decision needed. Ch 42 already settled that 父 here means origin or root, not father in the personal sense, so both give ""origin"" in English.",notes/manuscript.md
21,以閱眾甫,甫,mawangdui-b,Mawangdui silk B,excavated,父,no,base,base,"No decision needed. Ch 42 already settled that 父 here means origin or root, not father in the personal sense, so both give ""origin"" in English.",notes/manuscript.md
21,吾何以知眾甫之狀哉,狀,mawangdui-a,Mawangdui silk A,excavated,然,yes,mawangdui-a,witness,"RESOLVED 2026-08-11 — we follow 然. Five arguments converge, and only the last four are about manuscripts. 狀 (zhuàng, shape) occurs twice in the whole book; 然 (rán, so) occurs twelve times, and 吾何以知…然哉？以此 is a FIXED CLOSING FORMULA that Ch 54 and Ch 57 both use — 然 completes it and 狀 breaks it. Then: both Mawangdui silks read 然, the Song Heshang Gong edition reads 然, and the Siku compilers' own note on this line reads 〔案狀各本俱作然〕, ""for 狀, all editions read 然"". Rendered ""How do I know the origin of the many is so?"", which lets a reader hear the formula in all three chapters. The base text and Source table keep 狀; only the translation follows the witnesses, as at Ch 41, 42, 47 and 53.",notes/manuscript.md
21,吾何以知眾甫之狀哉,狀,mawangdui-b,Mawangdui silk B,excavated,然,yes,mawangdui-a,witness,"RESOLVED 2026-08-11 — we follow 然. Five arguments converge, and only the last four are about manuscripts. 狀 (zhuàng, shape) occurs twice in the whole book; 然 (rán, so) occurs twelve times, and 吾何以知…然哉？以此 is a FIXED CLOSING FORMULA that Ch 54 and Ch 57 both use — 然 completes it and 狀 breaks it. Then: both Mawangdui silks read 然, the Song Heshang Gong edition reads 然, and the Siku compilers' own note on this line reads 〔案狀各本俱作然〕, ""for 狀, all editions read 然"". Rendered ""How do I know the origin of the many is so?"", which lets a reader hear the formula in all three chapters. The base text and Source table keep 狀; only the translation follows the witnesses, as at Ch 41, 42, 47 and 53.",notes/manuscript.md
21,吾何以知眾甫之狀哉,狀,heshanggong,Heshang Gong,received,然,yes,mawangdui-a,witness,"RESOLVED 2026-08-11 — we follow 然. Five arguments converge, and only the last four are about manuscripts. 狀 (zhuàng, shape) occurs twice in the whole book; 然 (rán, so) occurs twelve times, and 吾何以知…然哉？以此 is a FIXED CLOSING FORMULA that Ch 54 and Ch 57 both use — 然 completes it and 狀 breaks it. Then: both Mawangdui silks read 然, the Song Heshang Gong edition reads 然, and the Siku compilers' own note on this line reads 〔案狀各本俱作然〕, ""for 狀, all editions read 然"". Rendered ""How do I know the origin of the many is so?"", which lets a reader hear the formula in all three chapters. The base text and Source table keep 狀; only the translation follows the witnesses, as at Ch 41, 42, 47 and 53.",notes/manuscript.md
21,吾何以知眾甫之狀哉,狀,siku-wangbi,editorial,,狀 〔案狀各本俱作然〕,yes,mawangdui-a,witness,"RESOLVED 2026-08-11 — we follow 然. Five arguments converge, and only the last four are about manuscripts. 狀 (zhuàng, shape) occurs twice in the whole book; 然 (rán, so) occurs twelve times, and 吾何以知…然哉？以此 is a FIXED CLOSING FORMULA that Ch 54 and Ch 57 both use — 然 completes it and 狀 breaks it. Then: both Mawangdui silks read 然, the Song Heshang Gong edition reads 然, and the Siku compilers' own note on this line reads 〔案狀各本俱作然〕, ""for 狀, all editions read 然"". Rendered ""How do I know the origin of the many is so?"", which lets a reader hear the formula in all three chapters. The base text and Source table keep 狀; only the translation follows the witnesses, as at Ch 41, 42, 47 and 53.",notes/manuscript.md
25,故道大，天大，地大，王亦大,王,guodian,Guodian bamboo slips,excavated,王,yes,fuyi,witness,"CORRECTED 2026-08-20. This entry previously recorded ""both silks read 人"" and was wrong in the opposite direction. Every EXCAVATED witness reads 王 (wáng — king), Guodian (~300 BCE) included. 人 (rén — human) is a TRANSMITTED reading: 傅奕 (Fu Yi, Tang) carries it and claims a 古本 ancestor. We still follow 人, but on internal grounds — the next line is 人法地 — and not on manuscript age. See notes/manuscript.md.",notes/manuscript.md
25,故道大，天大，地大，王亦大,王,mawangdui-a,Mawangdui silk A,excavated,王,yes,fuyi,witness,"CORRECTED 2026-08-20. This entry previously recorded ""both silks read 人"" and was wrong in the opposite direction. Every EXCAVATED witness reads 王 (wáng — king), Guodian (~300 BCE) included. 人 (rén — human) is a TRANSMITTED reading: 傅奕 (Fu Yi, Tang) carries it and claims a 古本 ancestor. We still follow 人, but on internal grounds — the next line is 人法地 — and not on manuscript age. See notes/manuscript.md.",notes/manuscript.md
25,故道大，天大，地大，王亦大,王,mawangdui-b,Mawangdui silk B,excavated,王,yes,fuyi,witness,"CORRECTED 2026-08-20. This entry previously recorded ""both silks read 人"" and was wrong in the opposite direction. Every EXCAVATED witness reads 王 (wáng — king), Guodian (~300 BCE) included. 人 (rén — human) is a TRANSMITTED reading: 傅奕 (Fu Yi, Tang) carries it and claims a 古本 ancestor. We still follow 人, but on internal grounds — the next line is 人法地 — and not on manuscript age. See notes/manuscript.md.",notes/manuscript.md
25,故道大，天大，地大，王亦大,王,beida,Peking University Han bamboo,excavated,王,yes,fuyi,witness,"CORRECTED 2026-08-20. This entry previously recorded ""both silks read 人"" and was wrong in the opposite direction. Every EXCAVATED witness reads 王 (wáng — king), Guodian (~300 BCE) included. 人 (rén — human) is a TRANSMITTED reading: 傅奕 (Fu Yi, Tang) carries it and claims a 古本 ancestor. We still follow 人, but on internal grounds — the next line is 人法地 — and not on manuscript age. See notes/manuscript.md.",notes/manuscript.md
25,故道大，天大，地大，王亦大,王,fuyi,Fu Yi ancient text,received,人,yes,fuyi,witness,"CORRECTED 2026-08-20. This entry previously recorded ""both silks read 人"" and was wrong in the opposite direction. Every EXCAVATED witness reads 王 (wáng — king), Guodian (~300 BCE) included. 人 (rén — human) is a TRANSMITTED reading: 傅奕 (Fu Yi, Tang) carries it and claims a 古本 ancestor. We still follow 人, but on internal grounds — the next line is 人法地 — and not on manuscript age. See notes/manuscript.md.",notes/manuscript.md
25,域中有四大，而王居其一焉,王,guodian,Guodian bamboo slips,excavated,王,yes,fanyingyuan,witness,"CORRECTED 2026-08-20; the ""silk B caught mid-drift"" reading recorded here before was an artefact of a bad source. Guodian, both silks and the Beida Han slips all read 而王居一焉. The earliest extant witness for 人居其一焉 is 范應元 (Fan Yingyuan, Song), 老子道德經古本集註. We follow it as an editorial call, logged as such.",notes/manuscript.md
25,域中有四大，而王居其一焉,王,mawangdui-a,Mawangdui silk A,excavated,王,yes,fanyingyuan,witness,"CORRECTED 2026-08-20; the ""silk B caught mid-drift"" reading recorded here before was an artefact of a bad source. Guodian, both silks and the Beida Han slips all read 而王居一焉. The earliest extant witness for 人居其一焉 is 范應元 (Fan Yingyuan, Song), 老子道德經古本集註. We follow it as an editorial call, logged as such.",notes/manuscript.md
25,域中有四大，而王居其一焉,王,mawangdui-b,Mawangdui silk B,excavated,王,yes,fanyingyuan,witness,"CORRECTED 2026-08-20; the ""silk B caught mid-drift"" reading recorded here before was an artefact of a bad source. Guodian, both silks and the Beida Han slips all read 而王居一焉. The earliest extant witness for 人居其一焉 is 范應元 (Fan Yingyuan, Song), 老子道德經古本集註. We follow it as an editorial call, logged as such.",notes/manuscript.md
25,域中有四大，而王居其一焉,王,beida,Peking University Han bamboo,excavated,王,yes,fanyingyuan,witness,"CORRECTED 2026-08-20; the ""silk B caught mid-drift"" reading recorded here before was an artefact of a bad source. Guodian, both silks and the Beida Han slips all read 而王居一焉. The earliest extant witness for 人居其一焉 is 范應元 (Fan Yingyuan, Song), 老子道德經古本集註. We follow it as an editorial call, logged as such.",notes/manuscript.md
25,域中有四大，而王居其一焉,王,fanyingyuan,Fan Yingyuan,received,人,yes,fanyingyuan,witness,"CORRECTED 2026-08-20; the ""silk B caught mid-drift"" reading recorded here before was an artefact of a bad source. Guodian, both silks and the Beida Han slips all read 而王居一焉. The earliest extant witness for 人居其一焉 is 范應元 (Fan Yingyuan, Song), 老子道德經古本集註. We follow it as an editorial call, logged as such.",notes/manuscript.md
25,域中有四大,域,guodian,Guodian bamboo slips,excavated,國,no,base,base,"域 (bounded ground: 土 + 或) and 國 (a wall around the same 或) are one root with two classifiers, so the fork is not meaning-bearing. Worth keeping in view all the same: every excavated witness reads the STATE word, so the territorial frame is the oldest layer in this passage — older than the throne debate sitting beside it.",notes/manuscript.md
25,域中有四大,域,mawangdui-a,Mawangdui silk A,excavated,國,no,base,base,"域 (bounded ground: 土 + 或) and 國 (a wall around the same 或) are one root with two classifiers, so the fork is not meaning-bearing. Worth keeping in view all the same: every excavated witness reads the STATE word, so the territorial frame is the oldest layer in this passage — older than the throne debate sitting beside it.",notes/manuscript.md
25,域中有四大,域,mawangdui-b,Mawangdui silk B,excavated,國,no,base,base,"域 (bounded ground: 土 + 或) and 國 (a wall around the same 或) are one root with two classifiers, so the fork is not meaning-bearing. Worth keeping in view all the same: every excavated witness reads the STATE word, so the territorial frame is the oldest layer in this passage — older than the throne debate sitting beside it.",notes/manuscript.md
25,域中有四大,域,beida,Peking University Han bamboo,excavated,國,no,base,base,"域 (bounded ground: 土 + 或) and 國 (a wall around the same 或) are one root with two classifiers, so the fork is not meaning-bearing. Worth keeping in view all the same: every excavated witness reads the STATE word, so the territorial frame is the oldest layer in this passage — older than the throne debate sitting beside it.",notes/manuscript.md
25,有物混成,混,mawangdui-a,Mawangdui silk A,excavated,昆,no,base,base,"Graphic variant only; both read as merged, undifferentiated.",notes/manuscript.md
25,有物混成,混,mawangdui-b,Mawangdui silk B,excavated,昆,no,base,base,"Graphic variant only; both read as merged, undifferentiated.",notes/manuscript.md
26,君子終日行不離輜重,君子,siku-wangbi,editorial,,聖人,yes,base,base,"Our base reads 君子 (the gentleman — a Confucian term); BOTH the Siku Wang Bi and the Song Heshang Gong read 聖人 (the sage), and the Siku reads 主 where we read 王 later in the chapter. Two independent editions against our reading. Directly relevant to the thread on reading past the throne, since it shows the two vocabularies competing inside one recension. See DISCOVERIES.md §1.",notes/manuscript.md
26,君子終日行不離輜重,君子,heshanggong,Heshang Gong,received,聖人,yes,base,base,"Our base reads 君子 (the gentleman — a Confucian term); BOTH the Siku Wang Bi and the Song Heshang Gong read 聖人 (the sage), and the Siku reads 主 where we read 王 later in the chapter. Two independent editions against our reading. Directly relevant to the thread on reading past the throne, since it shows the two vocabularies competing inside one recension. See DISCOVERIES.md §1.",notes/manuscript.md
32,道常無名。樸雖小,道常無名。樸雖小,—,editorial,,,yes,punctuation,base,"A punctuation fork, not a textual one, and the Chinese carries no punctuation at all. Received breaks after 無名, making 樸 the subject that is small. We read 無名樸 as one attribute of the Tao, making the Tao what is small.",notes/manuscript.md
38,則攘臂而扔之,扔,heshanggong,Heshang Gong,received,仍,no,base,base,"Our vendored Wang Bi carries the Siku compilers' collation note 〔案扔各本俱作仍〕 — ""for 扔, all editions read 仍"" — and Heshang Gong's lemma does read 仍. Nothing turns on it: 說文 glosses 扔 as 因也, ""to draw along,"" and 仍 carries the same sense, which is why Heshang Gong's own gloss is 攘臂相仍引, ""bare their arms and pull at one another"" (引, to pull). Logged because our English had read ""forces them,"" which follows neither graph — both are about pulling, not force.",notes/manuscript.md
41,大器晚成,晚成,mawangdui-a,Mawangdui silk A,excavated,免成,yes,mawangdui-a,witness,"Completed late, against never completed. We follow the witnesses because it completes the parallel with 無隅 / 希聲 / 無形, each ""the great X lacks its defining mark.""",notes/manuscript.md
41,大器晚成,晚成,guodian,Guodian bamboo slips,excavated,曼成,yes,mawangdui-a,witness,"Completed late, against never completed. We follow the witnesses because it completes the parallel with 無隅 / 希聲 / 無形, each ""the great X lacks its defining mark.""",notes/manuscript.md
42,吾將以為教父,教父,mawangdui-a,Mawangdui silk A,excavated,學父,yes,mawangdui-a,witness,"Father of teaching, against father of learning. We follow the silk — the bolder reading and the older one. 父 means origin or root here.",notes/manuscript.md
46,禍莫大於不知足,(two calamity clauses),mawangdui-a,Mawangdui silk A,excavated,罪莫大於可欲 (a third,yes,base,base,"The older witnesses remember a rising three-beat — crime/desire, disaster/discontent, fault/greed — that the received text trimmed to two. We keep the received pair and note the fuller crescendo.",notes/manuscript.md
46,禍莫大於不知足,(two calamity clauses),fuyi,Fu Yi ancient text,received,罪莫大於可欲,yes,base,base,"The older witnesses remember a rising three-beat — crime/desire, disaster/discontent, fault/greed — that the received text trimmed to two. We keep the received pair and note the fuller crescendo.",notes/manuscript.md
47,不見而名,名,mawangdui-a,Mawangdui silk A,excavated,明,yes,mawangdui-a,witness,"The homophone pair, both míng. We follow 明 (clear-seeing): it completes the parallel of know / see-clearly / accomplish, each without its usual means.",notes/manuscript.md
51,長之育之，亭之毒之,亭之毒之,heshanggong,Heshang Gong,received,成之熟之,yes,base,base,"亭/毒 are obscure here and have long puzzled readers; Heshang Gong's edition reads 成之熟之 (""completes them, ripens them""), which is plainer and may be an early clarification of a hard reading rather than a witness to a different original. Logged for the Ch 51 sweep.",notes/manuscript.md
52,是謂襲常,襲,wangbi,Wang Bi received recension,received,習,yes,base,base,"Two different characters, not two readings of one. 襲 (xi) is to layer a garment over another; 習 (xi) is to practise. Both commentaries print 習 here — Heshang Gong glosses it 習修常道, ""practising and cultivating the constant Tao"" — and the Siku edition of Wang Bi carries the collation note 〔案習各本作襲〕, ""for 習, all editions read 襲."" We follow the base text and read 襲, because 是謂襲明 at ch 27 is structurally identical and 明 / 常 are the book's own bonded pair (知常曰明, ch 16 and 55); reading 習 here dissolves that pair into a coincidence. Our English at ch 52 had been following 習 without anyone recording the fork.",notes/manuscript.md
52,是謂襲常,襲,heshanggong,Heshang Gong,received,習,yes,base,base,"Two different characters, not two readings of one. 襲 (xi) is to layer a garment over another; 習 (xi) is to practise. Both commentaries print 習 here — Heshang Gong glosses it 習修常道, ""practising and cultivating the constant Tao"" — and the Siku edition of Wang Bi carries the collation note 〔案習各本作襲〕, ""for 習, all editions read 襲."" We follow the base text and read 襲, because 是謂襲明 at ch 27 is structurally identical and 明 / 常 are the book's own bonded pair (知常曰明, ch 16 and 55); reading 習 here dissolves that pair into a coincidence. Our English at ch 52 had been following 習 without anyone recording the fork.",notes/manuscript.md
53,是謂盜夸,夸,mawangdui-a,Mawangdui silk A,excavated,竽,yes,mawangdui-a,witness,夸 is swagger; 竽 is the great reed mouth-organ that led the ancient ensemble. 盜竽 makes the gleaming ruler not merely a loud thief but the ringleader whose tune the rest play along to. Han Feizi reads it so.,notes/manuscript.md
53,是謂盜夸,夸,mawangdui-b,Mawangdui silk B,excavated,竽,yes,mawangdui-a,witness,夸 is swagger; 竽 is the great reed mouth-organ that led the ancient ensemble. 盜竽 makes the gleaming ruler not merely a loud thief but the ringleader whose tune the rest play along to. Han Feizi reads it so.,notes/manuscript.md
53,是謂盜夸,夸,hanfeizi,"Han Feizi, 解老 / 喻老",quotation,竽,yes,mawangdui-a,witness,夸 is swagger; 竽 is the great reed mouth-organ that led the ancient ensemble. 盜竽 makes the gleaming ruler not merely a loud thief but the ringleader whose tune the rest play along to. Han Feizi reads it so.,notes/manuscript.md
55,未知牝牡之合而朘作,朘,siku-wangbi,editorial,,全,yes,base,base,"Correcting our own record. The manuscript note long claimed our base text read 全 and that we were keeping it; our source table in fact reads 朘, the Mawangdui and Fu Yi reading, while the verse renders 全 (""their whole being quickens""). The received Wang Bi reading is 全, as the Siku printing shows. So the verse follows 全 and the source table shows 朘. Found by the commentary import, 2026-08-11.",notes/manuscript.md
55,未知牝牡之合而朘作,朘,mawangdui-a,Mawangdui silk A,excavated,朘,yes,base,base,"Correcting our own record. The manuscript note long claimed our base text read 全 and that we were keeping it; our source table in fact reads 朘, the Mawangdui and Fu Yi reading, while the verse renders 全 (""their whole being quickens""). The received Wang Bi reading is 全, as the Siku printing shows. So the verse follows 全 and the source table shows 朘. Found by the commentary import, 2026-08-11.",notes/manuscript.md
55,未知牝牡之合而朘作,朘,fuyi,Fu Yi ancient text,received,朘,yes,base,base,"Correcting our own record. The manuscript note long claimed our base text read 全 and that we were keeping it; our source table in fact reads 朘, the Mawangdui and Fu Yi reading, while the verse renders 全 (""their whole being quickens""). The received Wang Bi reading is 全, as the Siku printing shows. So the verse follows 全 and the source table shows 朘. Found by the commentary import, 2026-08-11.",notes/manuscript.md
55,未知牝牡之合而全作,全,mawangdui-a,Mawangdui silk A,excavated,朘,yes,base,base,"朘 is specifically the infant boy's member. We keep our base text's 全 (whole) in its plain sense, which preserves the point about desireless potency while keeping the emblem available to infants of every gender.",notes/manuscript.md
55,未知牝牡之合而全作,全,fuyi,Fu Yi ancient text,received,朘,yes,base,base,"朘 is specifically the infant boy's member. We keep our base text's 全 (whole) in its plain sense, which preserves the point about desireless potency while keeping the emblem available to infants of every gender.",notes/manuscript.md
61,大國者下流 … (國 ×7),國,mawangdui-a,Mawangdui silk A,excavated,邦,no,base,base,"The systematic Han name-taboo avoiding the personal name of the founding emperor Liu Bang (劉邦). Meaning-neutral, logged once rather than at each of the seven occurrences.",notes/manuscript.md
61,大國者下流 … (國 ×7),國,mawangdui-b,Mawangdui silk B,excavated,邦,no,base,base,"The systematic Han name-taboo avoiding the personal name of the founding emperor Liu Bang (劉邦). Meaning-neutral, logged once rather than at each of the seven occurrences.",notes/manuscript.md
61,小國以下大國，則取大國,則取大國,—,editorial,,,yes,base,base,"Not a witness fork but an editorial one: some editions supply 於 (取於大國) to license a passive reading. We keep the active in both halves, since the chiastic repetition is the argument. Heshang Gong reads it actively too.",notes/manuscript.md
62,美言可以市尊，美行可以加人,市尊，美行,mawangdui-a,Mawangdui silk A,excavated,市 | 尊行,yes,base,base,"RESOLVED 2026-08-12 by Shalom, against the recommendation, and the recommendation is recorded because the evidence is genuinely split. The silks, Fu Yi, Fan Yingyuan and both commentaries divide after 市 and read 尊行; our base divides after 尊 and reads 美行, and the Huainanzi (c. 139 BCE) quotes the base reading twice, in 人間訓 and 道應訓, with Yu Yue and Zhu Qianzhi following it. We keep the base: the 美 / 美 parallel is the reading our own recension carries and the oldest quotation supports, and the split camp is not unanimous either (Fu Yi reads 尊言, not 尊行). The arguments on the other side — lectio difficilior, and Wang Bi's commentary disagreeing with the text printed over it — are set out in notes/manuscript.md and stand as the case against this call.",notes/manuscript.md
62,美言可以市尊，美行可以加人,市尊，美行,mawangdui-b,Mawangdui silk B,excavated,市 | 尊行,yes,base,base,"RESOLVED 2026-08-12 by Shalom, against the recommendation, and the recommendation is recorded because the evidence is genuinely split. The silks, Fu Yi, Fan Yingyuan and both commentaries divide after 市 and read 尊行; our base divides after 尊 and reads 美行, and the Huainanzi (c. 139 BCE) quotes the base reading twice, in 人間訓 and 道應訓, with Yu Yue and Zhu Qianzhi following it. We keep the base: the 美 / 美 parallel is the reading our own recension carries and the oldest quotation supports, and the split camp is not unanimous either (Fu Yi reads 尊言, not 尊行). The arguments on the other side — lectio difficilior, and Wang Bi's commentary disagreeing with the text printed over it — are set out in notes/manuscript.md and stand as the case against this call.",notes/manuscript.md
62,美言可以市尊，美行可以加人,市尊，美行,wangbi,Wang Bi received recension,received,市 | 尊行 (in the commentary,yes,base,base,"RESOLVED 2026-08-12 by Shalom, against the recommendation, and the recommendation is recorded because the evidence is genuinely split. The silks, Fu Yi, Fan Yingyuan and both commentaries divide after 市 and read 尊行; our base divides after 尊 and reads 美行, and the Huainanzi (c. 139 BCE) quotes the base reading twice, in 人間訓 and 道應訓, with Yu Yue and Zhu Qianzhi following it. We keep the base: the 美 / 美 parallel is the reading our own recension carries and the oldest quotation supports, and the split camp is not unanimous either (Fu Yi reads 尊言, not 尊行). The arguments on the other side — lectio difficilior, and Wang Bi's commentary disagreeing with the text printed over it — are set out in notes/manuscript.md and stand as the case against this call.",notes/manuscript.md
62,美言可以市尊，美行可以加人,市尊，美行,heshanggong,Heshang Gong,received,市 | 尊行,yes,base,base,"RESOLVED 2026-08-12 by Shalom, against the recommendation, and the recommendation is recorded because the evidence is genuinely split. The silks, Fu Yi, Fan Yingyuan and both commentaries divide after 市 and read 尊行; our base divides after 尊 and reads 美行, and the Huainanzi (c. 139 BCE) quotes the base reading twice, in 人間訓 and 道應訓, with Yu Yue and Zhu Qianzhi following it. We keep the base: the 美 / 美 parallel is the reading our own recension carries and the oldest quotation supports, and the split camp is not unanimous either (Fu Yi reads 尊言, not 尊行). The arguments on the other side — lectio difficilior, and Wang Bi's commentary disagreeing with the text printed over it — are set out in notes/manuscript.md and stand as the case against this call.",notes/manuscript.md
62,美言可以市尊，美行可以加人,市尊，美行,fuyi,Fu Yi ancient text,received,于市 | 尊言,yes,base,base,"RESOLVED 2026-08-12 by Shalom, against the recommendation, and the recommendation is recorded because the evidence is genuinely split. The silks, Fu Yi, Fan Yingyuan and both commentaries divide after 市 and read 尊行; our base divides after 尊 and reads 美行, and the Huainanzi (c. 139 BCE) quotes the base reading twice, in 人間訓 and 道應訓, with Yu Yue and Zhu Qianzhi following it. We keep the base: the 美 / 美 parallel is the reading our own recension carries and the oldest quotation supports, and the split camp is not unanimous either (Fu Yi reads 尊言, not 尊行). The arguments on the other side — lectio difficilior, and Wang Bi's commentary disagreeing with the text printed over it — are set out in notes/manuscript.md and stand as the case against this call.",notes/manuscript.md
