chapter,heshanggong_title,heshanggong_title_pinyin,heshanggong_title_english,status,han_chars,english_words,words_per_character,guodian_attested,guodian_extent,guodian_bundles,source_lines,verse_lines,variants
25,象元,xiàng yuán,Figuring the origin,drafted,87,131,1.506,yes,complete,A,19,13,4
26,重德,zhòng dé,The weight of integrity,drafted,47,66,1.404,no,,,9,7,1
27,巧用,qiǎo yòng,Deft use,drafted,91,109,1.198,no,,,18,12,0
28,反朴,fǎn pǔ,Back to uncarved wood,drafted,86,116,1.349,no,,,15,15,0
29,無為,wú wéi,Non-doing,drafted,62,72,1.161,no,,,11,8,0
30,儉武,jiǎn wǔ,Sparing with arms,drafted,75,97,1.293,yes,complete,A,15,9,0
31,偃武,yǎn wǔ,Laying arms down,drafted,116,159,1.371,yes,end,C,18,14,0
32,聖德,shèng dé,The integrity of the sage,drafted,71,92,1.296,yes,complete,A,10,9,1
33,辯德,biàn dé,Telling integrity apart,drafted,38,57,1.5,no,,,8,8,0
34,任成,rèn chéng,Letting things complete,drafted,62,77,1.242,no,,,8,8,0
35,仁德,rén dé,Humane integrity,drafted,43,65,1.512,yes,complete,C,7,7,0
36,微明,wēi míng,Subtle clear-seeing,drafted,56,49,0.875,no,,,8,8,0
37,為政,wéi zhèng,Handling government,drafted,50,56,1.12,yes,complete,A,5,5,0
38,論德,lùn dé,On integrity,drafted,129,169,1.31,no,,,20,17,1
39,法本,fǎ běn,Following the root,drafted,134,187,1.396,no,,,21,21,0
40,去用,qù yòng,Putting use aside,drafted,21,27,1.286,yes,complete,A,4,4,0
41,同異,tóng yì,Same and different,drafted,95,139,1.463,yes,complete,B,12,12,1
42,道化,dào huà,The Tao transforming,drafted,73,104,1.425,no,,,8,8,1
43,徧用,biàn yòng,Use that reaches everywhere,drafted,39,41,1.051,no,,,5,5,0
44,立戒,lì jiè,A standing caution,drafted,39,61,1.564,yes,complete,A,8,8,0
45,洪德,hóng dé,Vast integrity,drafted,40,47,1.175,yes,complete,B,7,7,0
46,儉欲,jiǎn yù,Sparing desire,drafted,39,54,1.385,yes,end,A,5,5,1
47,鑒逺,jiàn yuǎn,Seeing far,drafted,36,42,1.167,no,,,5,6,1
48,忘知,wàng zhī,Forgetting what you know,drafted,40,48,1.2,yes,opening,B,5,6,0
49,任德,rèn dé,Trusting to integrity,drafted,65,81,1.246,no,,,9,12,0
50,貴生,guì shēng,Holding life dear,drafted,81,96,1.185,no,,,12,12,0
51,養德,yǎng dé,Nourishing integrity,drafted,72,90,1.25,no,,,9,11,1
52,歸元,guī yuán,Returning to the origin,drafted,72,111,1.542,yes,middle,B,8,11,1
53,益證,yì zhèng,Gain as the proof,drafted,52,78,1.5,no,,,5,5,1
54,修觀,xiū guān,Cultivating how you look,drafted,91,115,1.264,yes,complete,B,9,14,0
55,玄符,xuán fú,The dark tally,drafted,79,134,1.696,yes,complete,A,8,13,2
56,玄徳,xuán dé,Profound integrity,drafted,66,67,1.015,yes,complete,A,9,10,0
57,淳風,chún fēng,Unspoiled ways,drafted,88,108,1.227,yes,complete,A,13,13,0
58,順化,shùn huà,Going along with change,drafted,70,88,1.257,no,,,11,11,0
59,守道,shǒu dào,Holding fast to the Tao,drafted,64,81,1.266,yes,complete,B,8,8,0
60,居位,jū wèi,Keeping your place,drafted,48,67,1.396,no,,,5,5,0
61,謙德,qiān dé,Humble integrity,drafted,81,106,1.309,no,,,9,11,2
62,為道,wéi dào,Practising the Tao,drafted,81,110,1.358,no,,,10,13,4
63,恩始,ēn shǐ,Favour at the beginning,drafted,79,94,1.19,yes,complete,A,8,15,2
64,守微,shǒu wēi,Holding fast to the slight,drafted,125,168,1.344,yes,split,"A, C",13,22,2
65,淳德,chún dé,Unspoiled integrity,drafted,69,95,1.377,no,,,7,13,1
66,後巳,hòu jǐ,Putting the self last,drafted,76,95,1.25,yes,complete,A,8,10,0
67,三寳,sān bǎo,The three treasures,drafted,99,143,1.444,no,,,11,16,2
68,配天,pèi tiān,Matching the sky,drafted,43,56,1.302,no,,,7,7,1
69,玄用,xuán yòng,Profound use,drafted,54,93,1.722,no,,,10,10,1
70,知難,zhī nán,Hard to be known,drafted,48,71,1.479,no,,,6,11,0
71,知病,zhī bìng,Knowing the sickness,drafted,28,41,1.464,no,,,4,4,0
72,愛己,ài jǐ,Cherishing yourself,drafted,45,68,1.511,no,,,6,8,1
73,任為,rèn wéi,Leaving doing alone,drafted,64,85,1.328,no,,,10,12,1
74,制惑,zhì huò,Curbing delusion,drafted,58,74,1.276,no,,,5,9,1
75,貪損,tān sǔn,What greed costs,drafted,54,59,1.093,no,,,4,8,1
76,戒強,jiè qiáng,A caution against the strong,drafted,57,76,1.333,no,,,6,10,1
77,天道,tiān dào,The Tao of nature,drafted,79,123,1.557,no,,,7,16,0
78,任信,rèn xìn,Relying on trust,drafted,66,98,1.485,no,,,5,13,0
79,任契,rèn qì,Holding to the tally,drafted,40,55,1.375,no,,,4,9,0
80,獨立,dú lì,Standing alone,drafted,75,118,1.573,no,,,6,14,1
81,顯質,xiǎn zhì,Showing what is plain,drafted,57,79,1.386,no,,,5,11,0
