chapter,line,character,pinyin,locked_term,expected_rendering,rendering_present,alignment_confidence,alignment_method,our_english_for_this_line
3,5,腹,fù,心,belly,NOT FOUND,1.0,exact-count,"emptying their hearts and filling their bellies,"
3,6,弱,ruò,弱,yielding — and *weaken* only where it takes an object,NOT FOUND,1.0,exact-count,"weakening their ambition and strengthening their bones,"
3,6,強,qiáng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,1.0,exact-count,"weakening their ambition and strengthening their bones,"
3,7,常,Cháng,常,the ever-present / the abiding,NOT FOUND,1.0,exact-count,"so the people are ever unknowing, ever desireless,"
3,7,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,"so the people are ever unknowing, ever desireless,"
3,7,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,"so the people are ever unknowing, ever desireless,"
3,8,敢,gǎn,敢,push / venture — the forward press to take,yes,1.0,exact-count,and the knowers never push to act.
3,8,為,wéi,為,do / handle / serve as,NOT FOUND,1.0,exact-count,and the knowers never push to act.
3,9,為,Wéi,為,do / handle / serve as,yes,1.0,exact-count,"Do the not-doing, and nothing is left ungoverned."
3,9,為,wéi,為,do / handle / serve as,yes,1.0,exact-count,"Do the not-doing, and nothing is left ungoverned."
3,9,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,"Do the not-doing, and nothing is left ungoverned."
3,9,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,"Do the not-doing, and nothing is left ungoverned."
4,1,用,yòng,無 & 有,use,NOT FOUND,1.0,exact-count,"The Tao is empty, and using it, it never fills."
4,1,道,Dào,道,the Tao (left untranslated),NOT FOUND,1.0,exact-count,"The Tao is empty, and using it, it never fills."
4,2,物,wù,萬物,things / something,yes,1.0,exact-count,"Fathomless, it seems to be the ancestor of the countless things."
4,2,萬,wàn,萬物,countless,yes,1.0,exact-count,"Fathomless, it seems to be the ancestor of the countless things."
4,6,吾,Wú,我 & 吾,the self seeing,NOT FOUND,1.0,exact-count,I do not know whose child it is.
4,7,帝,dì,帝,god — *any god* at its one occurrence,NOT FOUND,1.0,exact-count,It seems older than any god.
5,1,仁,rén,仁,humaneness,yes,0.3,proportional,Sky and earth are not concerned with humaneness: they treat the countless things as straw dogs. The sage is not concerned with humaneness: they treat the people as straw dogs.
5,1,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,Sky and earth are not concerned with humaneness: they treat the countless things as straw dogs. The sage is not concerned with humaneness: they treat the people as straw dogs.
5,1,為,wéi,為,do / handle / serve as,yes,0.3,proportional,Sky and earth are not concerned with humaneness: they treat the countless things as straw dogs. The sage is not concerned with humaneness: they treat the people as straw dogs.
5,1,物,wù,萬物,things / something,yes,0.3,proportional,Sky and earth are not concerned with humaneness: they treat the countless things as straw dogs. The sage is not concerned with humaneness: they treat the people as straw dogs.
5,1,萬,wàn,萬物,countless,yes,0.3,proportional,Sky and earth are not concerned with humaneness: they treat the countless things as straw dogs. The sage is not concerned with humaneness: they treat the people as straw dogs.
5,2,仁,rén,仁,humaneness,NOT FOUND,0.3,proportional,Isn't the space between sky and earth like a bellows?
5,2,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,Isn't the space between sky and earth like a bellows?
5,3,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,"Empty but never depleted, the more it moves, the more it yields."
6,2,玄,xuán,玄 & 妙,dark or profound,NOT FOUND,0.3,proportional,This is the dark female.
6,3,玄,Xuán,玄 & 妙,dark or profound,NOT FOUND,0.2,proportional-fill,This is the dark female.
6,4,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,This dark gateway birthed the sky and the earth.
6,6,用,yòng,無 & 有,use,NOT FOUND,0.2,proportional-fill,"Unceasing yet barely perceptible, it can never be exhausted."
7,1,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,1.0,exact-count,"The sky is lasting, the earth enduring."
7,2,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,1.0,exact-count,"Lasting and enduring,"
7,3,生,shēng,生,give birth to / bear / bring forth,NOT FOUND,1.0,exact-count,Sky and earth do not live for themselves.
7,4,生,shēng,生,give birth to / bear / bring forth,NOT FOUND,1.0,exact-count,They endure without limit.
7,7,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,Is it not because they have no private self?
7,7,私,sī,公,the private / the private self,NOT FOUND,1.0,exact-count,Is it not because they have no private self?
7,8,私,sī,公,the private / the private self,NOT FOUND,1.0,exact-count,And so their private self is fulfilled.
8,1,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,1.0,exact-count,The most masterful are like water.
8,2,利,lì,無 & 有,advantage,NOT FOUND,1.0,exact-count,Water is masterful at benefiting the countless things and does not contend.
8,2,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,1.0,exact-count,Water is masterful at benefiting the countless things and does not contend.
8,2,爭,zhēng,爭,contend / contention,yes,1.0,exact-count,Water is masterful at benefiting the countless things and does not contend.
8,2,物,wù,萬物,things / something,yes,1.0,exact-count,Water is masterful at benefiting the countless things and does not contend.
8,2,萬,wàn,萬物,countless,yes,1.0,exact-count,Water is masterful at benefiting the countless things and does not contend.
8,3,眾,zhòng,眾,the crowd / the many,yes,1.0,exact-count,"It dwells in what the crowd loathes,"
8,4,道,dào,道,the Tao (left untranslated),NOT FOUND,1.0,exact-count,and so is nearly the Tao.
8,5,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,1.0,exact-count,"In settling, masterful at choosing ground."
8,6,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,1.0,exact-count,"In the heart, masterful at staying deep."
8,6,心,xīn,心,heart,yes,1.0,exact-count,"In the heart, masterful at staying deep."
8,7,仁,rén,仁,humaneness,yes,1.0,exact-count,"In giving, masterful at humaneness."
8,7,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,1.0,exact-count,"In giving, masterful at humaneness."
8,8,信,xìn,信,trust / trustworthy,yes,1.0,exact-count,"In speech, masterful at trust."
8,8,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,1.0,exact-count,"In speech, masterful at trust."
8,9,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,1.0,exact-count,"In governing, masterful at order."
8,10,事,shì,事,"affairs / undertakings (noun) · to serve, to attend to (verb)",yes,1.0,exact-count,"In affairs, masterful at what can be done."
8,10,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,1.0,exact-count,"In affairs, masterful at what can be done."
8,11,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,1.0,exact-count,"In moving, masterful at timing."
8,12,爭,zhēng,爭,contend / contention,yes,1.0,exact-count,"Because it does not contend,"
8,13,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,there is no blame.
9,10,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),yes,0.2,proportional-fill,"When the work is done, cease striving. This is the way of nature."
9,10,道,dào,道,the Tao (left untranslated),NOT FOUND,0.2,proportional-fill,"When the work is done, cease striving. This is the way of nature."
10,1,一,yī,一,the one (lowercase) · one thing (ch 22) · plain numeral where it counts,NOT FOUND,0.3,proportional,"Housing your soul and embracing the one, can you keep these from parting?"
10,2,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,"Gathering the breath to softness, can you be like an infant?"
10,5,玄,xuán,玄 & 妙,dark or profound,NOT FOUND,0.3,proportional,"Loving the people and governing the state, can you be unknowing?"
10,6,無,wú,無 & 有,absence,NOT FOUND,0.2,proportional-fill,"Loving the people and governing the state, can you be unknowing?"
10,8,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,"Clarity reaching the four quarters, can you be non-doing?"
10,9,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.2,proportional-fill,"Clarity reaching the four quarters, can you be non-doing?"
10,10,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,"Giving birth to things and rearing them,"
10,11,明,Míng,明,clear-seeing / clarity,NOT FOUND,0.3,proportional,"giving birth without possessing,"
10,12,為,wéi,為,do / handle / serve as,NOT FOUND,0.2,proportional-fill,"giving birth without possessing,"
10,12,無,wú,無 & 有,absence,NOT FOUND,0.2,proportional-fill,"giving birth without possessing,"
10,13,生,Shēng,生,give birth to / bear / bring forth,NOT FOUND,0.3,proportional,"acting yet relying on nothing,"
10,14,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,growing them without ruling them –
10,14,生,shēng,生,give birth to / bear / bring forth,NOT FOUND,0.3,proportional,growing them without ruling them –
10,15,恃,shì,恃,rely on — the heart putting its weight on something,NOT FOUND,0.2,proportional-fill,growing them without ruling them –
10,15,為,wéi,為,do / handle / serve as,NOT FOUND,0.2,proportional-fill,growing them without ruling them –
10,17,德,dé,德,integrity,yes,0.2,proportional-fill,this is called profound integrity.
10,17,玄,xuán,玄 & 妙,dark or profound,NOT FOUND,0.2,proportional-fill,this is called profound integrity.
11,1,一,yī,一,the one (lowercase) · one thing (ch 22) · plain numeral where it counts,NOT FOUND,0.3,proportional,Thirty spokes meet in a single hub.
11,2,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,"Through the emptiness at its center, the cart can roll."
11,3,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Through the emptiness it contains,"
11,3,用,yòng,無 & 有,use,NOT FOUND,0.3,proportional,"Through the emptiness it contains,"
11,4,器,qì,器,vessel / tool / implement,NOT FOUND,0.2,proportional-fill,"Through the emptiness it contains,"
11,4,為,wéi,為,do / handle / serve as,NOT FOUND,0.2,proportional-fill,"Through the emptiness it contains,"
11,5,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,A clay vessel becomes useful.
11,6,器,qì,器,vessel / tool / implement,NOT FOUND,0.3,proportional,"Through the empty spaces cut into walls,"
11,6,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Through the empty spaces cut into walls,"
11,6,用,yòng,無 & 有,use,NOT FOUND,0.3,proportional,"Through the empty spaces cut into walls,"
11,7,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,A room becomes useful.
11,8,無,wú,無 & 有,absence,NOT FOUND,0.2,proportional-fill,A room becomes useful.
11,9,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Therefore, filled space creates potential."
11,9,用,yòng,無 & 有,use,NOT FOUND,0.3,proportional,"Therefore, filled space creates potential."
11,10,利,lì,無 & 有,advantage,NOT FOUND,0.3,proportional,Empty space makes things useful.
11,10,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,Empty space makes things useful.
11,10,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,Empty space makes things useful.
11,11,為,wéi,為,do / handle / serve as,NOT FOUND,0.2,proportional-fill,Empty space makes things useful.
11,11,無,wú,無 & 有,absence,NOT FOUND,0.2,proportional-fill,Empty space makes things useful.
11,11,用,yòng,無 & 有,use,yes,0.2,proportional-fill,Empty space makes things useful.
12,5,心,xīn,心,heart,yes,0.2,proportional-fill,Galloping in pursuit of prey makes the heart wild.
12,6,貨,huò,貨,goods,yes,0.3,proportional,Rare goods make actions corrupt.
12,8,為,wèi,為,do / handle / serve as,NOT FOUND,0.3,proportional,They let go of what is out there and take what is here.
12,8,為,wèi,為,do / handle / serve as,NOT FOUND,0.3,proportional,They let go of what is out there and take what is here.
12,8,腹,fù,心,belly,NOT FOUND,0.3,proportional,They let go of what is out there and take what is here.
13,4,為,wéi,為,do / handle / serve as,yes,0.2,proportional-fill,What does it mean that favor and disgrace both cause alarm?
13,9,吾,Wú,我 & 吾,the self seeing,NOT FOUND,0.3,proportional,This is why favor and disgrace both cause alarm.
13,9,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,This is why favor and disgrace both cause alarm.
13,10,吾,wú,我 & 吾,the self seeing,NOT FOUND,0.3,proportional,What does it mean to value misfortune as your own body?
13,10,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,What does it mean to value misfortune as your own body?
13,10,為,Wèi,為,do / handle / serve as,yes,0.3,proportional,What does it mean to value misfortune as your own body?
13,11,吾,wú,我 & 吾,the self seeing,NOT FOUND,0.3,proportional,I only experience misfortune because I have a body.
13,11,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,I only experience misfortune because I have a body.
13,12,吾,Wú,我 & 吾,the self seeing,NOT FOUND,0.2,proportional-fill,I only experience misfortune because I have a body.
13,12,有,yǒu,無 & 有,presence,NOT FOUND,0.2,proportional-fill,I only experience misfortune because I have a body.
13,13,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,"When the separate self dissolves, what troubles could I have?"
13,13,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,"When the separate self dissolves, what troubles could I have?"
13,14,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,"Therefore, one who values the world as their body can be entrusted with the world."
13,15,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,One who loves the whole world as their own body can truly care for it.
13,15,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,One who loves the whole world as their own body can truly care for it.
13,16,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.2,proportional-fill,One who loves the whole world as their own body can truly care for it.
14,8,一,yī,一,the one (lowercase) · one thing (ch 22) · plain numeral where it counts,NOT FOUND,0.3,proportional,Or a dark bottom.
14,8,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,Or a dark bottom.
14,12,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,"This is the shape of no-shape, the image of no-thing."
14,12,物,wù,萬物,things / something,NOT FOUND,0.3,proportional,"This is the shape of no-shape, the image of no-thing."
14,13,無,wú,無 & 有,absence,NOT FOUND,0.2,proportional-fill,"This is the shape of no-shape, the image of no-thing."
14,14,無,Wú,無 & 有,absence,NOT FOUND,0.3,proportional,This is called the elusive.
14,14,物,wù,萬物,things / something,NOT FOUND,0.3,proportional,This is called the elusive.
14,18,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,"Hold the ancient Tao, and steer what is present now."
14,19,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Know the primordial source,"
14,21,道,dào,道,the Tao (left untranslated),NOT FOUND,0.2,proportional-fill,The thread of the Tao.
15,1,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),NOT FOUND,0.3,proportional,The ancient masters
15,1,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,The ancient masters
15,2,妙,miào,玄 & 妙,subtle,yes,0.3,proportional,Were subtle-fine and dark-penetrating —
15,2,玄,xuán,玄 & 妙,dark or profound,NOT FOUND,0.3,proportional,Were subtle-fine and dark-penetrating —
15,5,強,qiǎng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,0.3,proportional,"Careful, like crossing a frozen river."
15,5,為,wèi,為,do / handle / serve as,NOT FOUND,0.3,proportional,"Careful, like crossing a frozen river."
15,10,樸,pǔ,樸,uncarved wood / the uncarved,NOT FOUND,0.3,proportional,"Expansive, like a valley."
15,14,生,shēng,生,give birth to / bear / bring forth,NOT FOUND,0.3,proportional,One who holds the Tao has no desire to be full.
15,15,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,"Because they don’t seek to become full,"
16,3,物,wù,萬物,things / something,yes,0.3,proportional,"The countless things arise together,"
16,3,萬,Wàn,萬物,countless,yes,0.3,proportional,"The countless things arise together,"
16,4,吾,Wú,我 & 吾,the self seeing,NOT FOUND,0.3,proportional,"Relying upon this, I observe their return."
16,5,物,wù,萬物,things / something,NOT FOUND,0.3,proportional,"Multitudes flourish,"
16,9,常,cháng,常,the ever-present / the abiding,yes,0.3,proportional,Returning to what was given is called the ever-present.
16,10,常,cháng,常,the ever-present / the abiding,yes,0.3,proportional,Knowing the ever-present is called clear-seeing.
16,10,明,míng,明,clear-seeing / clarity,yes,0.3,proportional,Knowing the ever-present is called clear-seeing.
16,11,常,cháng,常,the ever-present / the abiding,yes,0.3,proportional,Not knowing the ever-present brings reckless action and disaster.
16,13,常,cháng,常,the ever-present / the abiding,NOT FOUND,0.3,proportional,Embracing all leads to impartiality.
16,14,公,gōng,公,impartiality / impartial (the quality) · lord / minister (the office),yes,0.3,proportional,Impartiality leads to sovereignty.
16,15,公,Gōng,公,impartiality / impartial (the quality) · lord / minister (the office),NOT FOUND,0.3,proportional,Sovereignty leads to the open sky.
16,15,王,wáng,王,ruler / sovereign · to rule (verb),yes,0.3,proportional,Sovereignty leads to the open sky.
16,16,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,The open sky leads to the Tao.
16,16,王,Wáng,王,ruler / sovereign · to rule (verb),NOT FOUND,0.3,proportional,The open sky leads to the Tao.
16,17,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,The Tao leads to the enduring.
16,17,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,The Tao leads to the enduring.
16,18,道,Dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,"and to the end of your days, no danger will find you."
17,1,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,"About the greatest leaders, little is known."
17,5,信,Xìn,信,trust / trustworthy,yes,1.0,exact-count,"Where trust runs short, there is no trust."
17,5,信,xìn,信,trust / trustworthy,yes,1.0,exact-count,"Where trust runs short, there is no trust."
17,5,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,"Where trust runs short, there is no trust."
17,7,事,shì,事,"affairs / undertakings (noun) · to serve, to attend to (verb)",NOT FOUND,1.0,exact-count,"When their work is done,"
17,8,我,Wǒ,我 & 吾,the self seen,NOT FOUND,1.0,exact-count,"The people all say, “We did this by ourselves.”"
18,1,仁,rén,仁,humaneness,yes,1.0,exact-count,"When the great Tao is discarded, humaneness and duty appear."
18,1,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,"When the great Tao is discarded, humaneness and duty appear."
18,1,道,dào,道,the Tao (left untranslated),NOT FOUND,1.0,exact-count,"When the great Tao is discarded, humaneness and duty appear."
18,2,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,"When cleverness and erudition arise, great hypocrisy appears."
18,3,孝,xiào,慈,devotion,yes,1.0,exact-count,"When kin are out of harmony, devotion and tenderness appear."
18,3,慈,cí,慈,tenderness,yes,1.0,exact-count,"When kin are out of harmony, devotion and tenderness appear."
18,3,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,"When kin are out of harmony, devotion and tenderness appear."
18,4,忠,zhōng,信,loyalty,NOT FOUND,1.0,exact-count,"When nations fall into chaos, loyal ministers appear."
18,4,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,"When nations fall into chaos, loyal ministers appear."
19,1,利,lì,無 & 有,advantage,NOT FOUND,1.0,exact-count,"Cut off sagehood, abandon cleverness, and the people benefit a hundredfold."
19,2,仁,rén,仁,humaneness,yes,1.0,exact-count,"Cut off humaneness, abandon duty, and the people return to devotion and tenderness."
19,2,孝,xiào,慈,devotion,yes,1.0,exact-count,"Cut off humaneness, abandon duty, and the people return to devotion and tenderness."
19,2,慈,cí,慈,tenderness,yes,1.0,exact-count,"Cut off humaneness, abandon duty, and the people return to devotion and tenderness."
19,3,利,lì,無 & 有,advantage,NOT FOUND,1.0,exact-count,"Cut off cunning, abandon profit, and there are no thieves."
19,3,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,"Cut off cunning, abandon profit, and there are no thieves."
19,3,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,"Cut off cunning, abandon profit, and there are no thieves."
19,4,為,wéi,為,do / handle / serve as,NOT FOUND,1.0,exact-count,"These three, taken as cultural form, are not enough."
19,5,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,So give them something to belong to:
19,6,樸,pǔ,樸,uncarved wood / the uncarved,yes,1.0,exact-count,"see the undyed silk, embrace the uncarved wood,"
19,7,私,sī,公,the private / the private self,NOT FOUND,1.0,exact-count,"diminish the self, diminish desire."
20,1,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,Cut off learning and there is no worry.
20,3,善,Shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),NOT FOUND,0.3,proportional,how much distance?
20,6,眾,Zhòng,眾,the crowd / the many,NOT FOUND,0.3,proportional,What people fear must be feared.
20,9,我,Wǒ,我 & 吾,the self seen,NOT FOUND,0.3,proportional,as if climbing a terrace in spring.
20,11,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,"like an infant who has not yet learned to smile,"
20,12,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"listless, as if with nowhere to return."
20,12,眾,Zhòng,眾,the crowd / the many,NOT FOUND,0.3,proportional,"listless, as if with nowhere to return."
20,13,我,wǒ,我 & 吾,the self seen,NOT FOUND,0.3,proportional,The crowd all have more than enough.
20,14,心,xīn,心,heart,NOT FOUND,0.3,proportional,I alone seem to have missed out.
20,14,我,Wǒ,我 & 吾,the self seen,NOT FOUND,0.3,proportional,I alone seem to have missed out.
20,17,我,wǒ,我 & 吾,the self seen,NOT FOUND,0.3,proportional,The worldly are bright. I alone am dark.
20,19,我,wǒ,我 & 吾,the self seen,NOT FOUND,0.3,proportional,"Calm, like the sea."
20,21,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,The crowd all have something to use themselves for.
20,22,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"I alone am stubborn, and look coarse."
20,22,眾,Zhòng,眾,the crowd / the many,NOT FOUND,0.3,proportional,"I alone am stubborn, and look coarse."
20,23,我,wǒ,我 & 吾,the self seen,NOT FOUND,0.3,proportional,I alone differ from others:
20,24,我,Wǒ,我 & 吾,the self seen,NOT FOUND,0.3,proportional,I prize feeding from the mother.
20,25,母,mǔ,母,mother,yes,0.2,proportional-fill,I prize feeding from the mother.
21,1,德,dé,德,integrity,yes,0.3,proportional,The greatest integrity simply follows the Tao.
21,2,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,"Whatever the Tao is, it is only vague, only elusive."
