chapter,commentator,commentator_en,seq,lemma_zh,lemma_our_english,lemma_status,comment_chinese,comment_english
2,河上公,Heshang Gong (Han),1,天下皆知美之為美,"When the world knows beauty as beauty, ugliness arises. When the world knows good as good, the bad arises.",aligned to our base text,自揚己美使顯彰也,
2,河上公,Heshang Gong (Han),2,斯惡巳,"When the world knows beauty as beauty, ugliness arises. When the world knows good as good, the bad arises.",aligned to our base text,有危亡也,
2,河上公,Heshang Gong (Han),3,皆知善之為善,"Therefore presence and absence give birth to each other,",aligned to our base text,有功名也,
2,河上公,Heshang Gong (Han),4,斯不善巳,"Therefore presence and absence give birth to each other,",aligned to our base text,人所爭也,
2,河上公,Heshang Gong (Han),5,故有無相生,"Difficult and easy complete each other,",aligned to our base text,見有而為無也,
2,河上公,Heshang Gong (Han),6,難易相成,"Difficult and easy complete each other,",aligned to our base text,見難而為易也,
2,河上公,Heshang Gong (Han),7,長短相形,"Long and short measure each other,",aligned to our base text,見短而為長也,
2,河上公,Heshang Gong (Han),8,音聲相和,"High and low depend on each other, Sound and tone harmonize each other,",aligned to our base text,上唱下必和也,
2,河上公,Heshang Gong (Han),9,前後相隨,"High and low depend on each other, Sound and tone harmonize each other,",aligned to our base text,上行下必隨也,
2,河上公,Heshang Gong (Han),10,是以聖人處無為之事,Front and back follow each other.,aligned to our base text,以道治也,
2,河上公,Heshang Gong (Han),11,行不言之教,Therefore the sage dwells in the work of non-doing,aligned to our base text,以身師導之也,
2,河上公,Heshang Gong (Han),12,功成而弗居,"The work is done, and the sage does not stay in it.",aligned to our base text,功成事就退避不居其位,
2,河上公,Heshang Gong (Han),13,是以不去,"Because the sage does not stay, it does not leave.",aligned to our base text,福德常在不去其身也此言不行不可隨不言不可知疾上六句有髙下長短君開一源下生百端百端之變无不動亂,
2,王弼,Wang Bi (d. 249 CE),1,是以聖人處無為之事,Front and back follow each other.,aligned to our base text,自然已足〔案永樂大典足作定〕為則敗也,
2,王弼,Wang Bi (d. 249 CE),2,功成而弗居〔案永樂大典無而字弗作不〕,"The work is done, and the sage does not stay in it.",aligned to our base text,因物而用功自彼成故不居也,
2,王弼,Wang Bi (d. 249 CE),3,夫唯弗居〔案永樂大典弗作不〕是以不去,"Because the sage does not stay, it does not leave.",aligned to our base text,使功在已則功不可久也,
3,河上公,Heshang Gong (Han),1,不尚賢,"By not exalting the exceptional, the people have no cause to contend.",aligned to our base text,賢謂丗俗之賢辯口明文離道行權去質為文也不尚者不貴之以禄不貴之以官,
3,河上公,Heshang Gong (Han),2,使民不爭,"By not exalting the exceptional, the people have no cause to contend.",aligned to our base text,不爭功名返自然也,
3,河上公,Heshang Gong (Han),3,不貴難得之貨,"By not prizing rare goods, the people do not become thieves.",aligned to our base text,言人君不御好珎寳黄金棄於山珠玉捐於淵,
3,河上公,Heshang Gong (Han),4,使民不為盗,"By not prizing rare goods, the people do not become thieves.",aligned to our base text,上化清淨下无貪人,
3,河上公,Heshang Gong (Han),5,不見可欲,"By not displaying the desirable, the people's hearts are not disturbed.",aligned to our base text,放鄭聲逺美人,
3,河上公,Heshang Gong (Han),6,虛其心,"emptying their hearts and filling their bellies,",aligned to our base text,除嗜欲去亂煩,
3,河上公,Heshang Gong (Han),7,實其腹,"emptying their hearts and filling their bellies,",aligned to our base text,懐道抱一守五神也,
3,河上公,Heshang Gong (Han),8,弱其志,"weakening their ambition and strengthening their bones,",aligned to our base text,和柔謙讓不處權也,
3,河上公,Heshang Gong (Han),9,強其骨,"weakening their ambition and strengthening their bones,",aligned to our base text,愛精重施髓滿骨堅強其良反,
3,河上公,Heshang Gong (Han),10,常使民無知無欲,"so the people are ever unknowing, ever desireless,",aligned to our base text,反朴守淳,
3,河上公,Heshang Gong (Han),11,為無為,"Do the not-doing, and nothing is left ungoverned.",aligned to our base text,不造作動因循,
3,河上公,Heshang Gong (Han),12,則無不治,"Do the not-doing, and nothing is left ungoverned.",aligned to our base text,德化厚百姓安,
3,王弼,Wang Bi (d. 249 CE),1,是以聖人之治虚其心實其腹,"This is how the sage governs: emptying their hearts and filling their bellies,",aligned to our base text,心懐智而腹懐食虚有智而實無知也,
3,王弼,Wang Bi (d. 249 CE),2,弱其志强其骨,"weakening their ambition and strengthening their bones,",aligned to our base text,骨無知以幹志生事以亂心虛則志弱也〔案心虚則志弱也六字原本缺釋文有應在此注之下今校,
3,王弼,Wang Bi (d. 249 CE),3,常使民無知無欲,"so the people are ever unknowing, ever desireless,",aligned to our base text,守其真也,
3,王弼,Wang Bi (d. 249 CE),4,使夫智者不敢為也,and the knowers never push to act.,aligned to our base text,智者謂知為也,
3,王弼,Wang Bi (d. 249 CE),5,為無為則無不治,"Do the not-doing, and nothing is left ungoverned.",aligned to our base text,,
4,河上公,Heshang Gong (Han),1,或不盈,"The Tao is empty, and using it, it never fills.",aligned to our base text,或常也道常謙虛不盈滿,
4,河上公,Heshang Gong (Han),2,挫其銳,"It blunts the sharpness, untangles the knots,",aligned to our base text,銳進也人欲銳精進取功名當挫上之法道不自也挫子卧反銳恱歲反,
4,河上公,Heshang Gong (Han),3,解其紛,"It blunts the sharpness, untangles the knots,",aligned to our base text,紛結根也當念道无為以解釋紛拂云反,
4,河上公,Heshang Gong (Han),4,和其光,"dims its own light, is the same as the dust.",aligned to our base text,言雖有獨見之明當知闇昧不當以擢亂人也,
4,河上公,Heshang Gong (Han),5,同其塵,"dims its own light, is the same as the dust.",aligned to our base text,常與衆庻同垢塵不當自别殊,
4,河上公,Heshang Gong (Han),6,吾不知誰之子,I do not know whose child it is.,aligned to our base text,老子言我不知道所從生,
4,河上公,Heshang Gong (Han),7,象帝之先,It seems older than any god.,aligned to our base text,道自在天帝之前此言道乃先天地生也至今在者以能安靜湛然不勞煩欲使人修身法道,
4,王弼,Wang Bi (d. 249 CE),1,道沖而用之或不盈淵兮似萬物之宗挫其銳解其紛和其光同其塵湛兮似或存〔案或一作若〕吾不知誰之子象帝之先,"The Tao is empty, and using it, it never fills. Fathomless, it seems to be the ancestor of the countless things. It blunts the sharpness, untangles the knots, dims its own light, is the same as the dust. Submerged, it seems to be here. I do not know whose child it is. It seems older than any god.",aligned to our base text,夫執一家之量者不能全家執一國之量者不能成國窮力舉重不能為用故人雖知萬物治也治而不以二儀之道則不能贍也〔案贍原本作瞻今據永樂大典校改〕地雖形魄不法於天則不能全其寧天雖精象不法於道則不能保其精沖而用之用乃不能窮滿以造實實來則溢故沖而用之又復不盈其為無窮亦已極矣形雖大不能累其體事雖殷不能充其量萬物舍此而求主〔案永樂大典作求其生〕主其安在乎不亦淵兮似萬物之宗乎銳挫而無損紛解而不勞和光而不汙其體同塵而不渝其真不亦湛兮似或存乎地守其形徳不能過其載天慊其象徳不能過其覆天地莫能及之不亦似帝之先乎帝天帝也,
5,河上公,Heshang Gong (Han),1,天地不仁,Sky and earth are not concerned with humaneness: they treat the countless things as straw dogs. The sage is not concerned with humaneness: they treat the people as straw dogs.,aligned to our base text,天施地化不以仁恩任自然也,
5,河上公,Heshang Gong (Han),2,以萬物爲芻狗,Sky and earth are not concerned with humaneness: they treat the countless things as straw dogs. The sage is not concerned with humaneness: they treat the people as straw dogs.,aligned to our base text,天地生萬物人最為貴天地視之如芻草狗畜不貴望其報也芻楚狗反狗古口反,
5,河上公,Heshang Gong (Han),3,聖人不仁,Isn't the space between sky and earth like a bellows?,aligned to our base text,聖人愛養萬民不以仁恩法天地行自然,
5,河上公,Heshang Gong (Han),4,以百姓爲芻狗,Isn't the space between sky and earth like a bellows?,aligned to our base text,聖人視百姓如芻草狗畜不責望其禮意,
5,河上公,Heshang Gong (Han),5,天地之間,"Empty but never depleted, the more it moves, the more it yields.",aligned to our base text,天地之間空虚和氣流行故萬物自生人能除情欲節滋味清五藏則神明居之也,
5,河上公,Heshang Gong (Han),6,虛而不屈動而愈出,Speaking of this is a dead end.,aligned to our base text,言空虚无有屈竭時動揺之益出聲氣也愈羊王反,
5,河上公,Heshang Gong (Han),7,多言數窮,"Instead, hold the center in silence.",aligned to our base text,多事害神多言害身口開舌舉必有禍患數王弼注音𩀱遇反謂理數也明皇注音朔,
5,河上公,Heshang Gong (Han),8,不如守中,"Instead, hold the center in silence.",aligned to our base text,不如守德於中育養精神愛氣希言,
5,王弼,Wang Bi (d. 249 CE),1,天地不仁以萬物為芻狗,Sky and earth are not concerned with humaneness: they treat the countless things as straw dogs. The sage is not concerned with humaneness: they treat the people as straw dogs.,aligned to our base text,天地任自然無為無造萬物自相治理故不仁也仁者必造立施化有恩有為造立施化〔案原本脫此四字今據永樂大典校則物失其真有恩有為則物不具存物不具存則不足以備載矣地不為獸生芻而獸食芻不為人生狗而人食狗無為於萬物而萬物各適其所用則莫不贍矣〔案贍原本作瞻今據永樂大典校改〕若慧由巳樹〔案慧未足任也,
5,王弼,Wang Bi (d. 249 CE),2,聖人不仁以百姓為芻狗,Isn't the space between sky and earth like a bellows?,aligned to our base text,聖人與天地合其徳以百姓比芻狗也〔案比永樂大典作化〕,
5,王弼,Wang Bi (d. 249 CE),3,多言數窮不如守中,"Instead, hold the center in silence.",aligned to our base text,愈為之則愈失之矣物樹其惡事錯其言不濟不言不理必窮之數也橐籥而守數中則無窮盡棄己任物則莫不理若橐籥有意於為聲也則不足以共吹者之求也,
6,河上公,Heshang Gong (Han),1,谷神不死,The spirit of the valley is deathless.,aligned to our base text,谷養也人能養神則不死也神謂五藏之神也肝藏魂肺藏魄心藏神腎藏精脾藏志五藏盡傷則五神去矣,
6,河上公,Heshang Gong (Han),2,是謂玄牝,This is the dark female.,aligned to our base text,言不死之有在於玄牝玄天也於人為鼻牝地也於人為口天食人以五氣從鼻入藏於心五氣清微為精神聦明音聲五性其□曰魂魂者雄也主出入人鼻與天通故鼻為玄也地食人以五味從口入藏於胃五性濁辱為形骸骨肉血脉六情其□曰魄魄者雌也主出入於口與天地通故口為牝也牝頻忍反,
6,河上公,Heshang Gong (Han),3,□牝之門是謂天地根,This is the dark female. This dark gateway birthed the sky and the earth.,aligned to our base text,根元也言鼻口之門是乃通天地之元氣所從往來,
6,河上公,Heshang Gong (Han),4,綿綿若存,"Unceasing yet barely perceptible, it can never be exhausted.",aligned to our base text,鼻口呼噏喘息當綿綿微妙若可存復若无有,
6,河上公,Heshang Gong (Han),5,用之不勤,"Unceasing yet barely perceptible, it can never be exhausted.",aligned to our base text,用氣常寛舒不當急疾懃勞也,
6,王弼,Wang Bi (d. 249 CE),1,谷神不死是謂𤣥牝𤣥牝之門是謂天地根緜緜若存用之不勤,"The spirit of the valley is deathless. This is the dark female. This is the dark female. This dark gateway birthed the sky and the earth. Unceasing yet barely perceptible, it can never be exhausted. Unceasing yet barely perceptible, it can never be exhausted.",aligned to our base text,谷神谷中央無谷也無形無影無逆無違處卑不動守静不衰谷以之成而不見其形此至物也處卑而不可得名故謂天地之根緜緜若存用之不勤門𤣥牝之所由也本其所由與極同體故謂之天地之根也欲言存耶則不見其形欲言亡耶萬物以之生故緜緜若存也無物不成用而不勞也故曰用而不勤也,
7,河上公,Heshang Gong (Han),1,天長地乆,"The sky is lasting, the earth enduring.",aligned to our base text,說天地長生乆壽以喻教人也,
7,河上公,Heshang Gong (Han),2,天地所以能長且乆者以其不自生,"Lasting and enduring, Sky and earth do not live for themselves.",aligned to our base text,天地所以獨長且乆者以其安靜施不榮報不如人居處汲汲求自饒之利奪人以自與,
7,河上公,Heshang Gong (Han),3,故能長生,They endure without limit.,aligned to our base text,以其不求生故能長生不終也,
7,河上公,Heshang Gong (Han),4,是以聖人後其身,"Placing themselves last, the sage is first;",aligned to our base text,先人而後己者也,
7,河上公,Heshang Gong (Han),5,而身先,"Placing themselves last, the sage is first;",aligned to our base text,天下敬之先以為長,
7,河上公,Heshang Gong (Han),6,外其身,"unconcerned for themselves, their selves endure.",aligned to our base text,薄己而厚人也,
7,河上公,Heshang Gong (Han),7,而身存,"unconcerned for themselves, their selves endure.",aligned to our base text,百姓愛之如父母神明祐之若赤子故身常存,
7,河上公,Heshang Gong (Han),8,非以其無私邪,Is it not because they have no private self?,aligned to our base text,聖人為人所愛神明所祐非以其公正無私所致乎,
7,河上公,Heshang Gong (Han),9,故能成其私,And so their private self is fulfilled.,aligned to our base text,人以為私者欲以厚己也聖人无私而己自厚故能成其私也,
7,王弼,Wang Bi (d. 249 CE),1,天長地久天地所以能長且久者以其不自生,"The sky is lasting, the earth enduring. Lasting and enduring, Sky and earth do not live for themselves.",aligned to our base text,自生則與物争不自生則物歸也,
7,王弼,Wang Bi (d. 249 CE),2,故能長生是以聖人後其身而身先外其身而身存非以其無私耶故能成其私,"They endure without limit. Placing themselves last, the sage is first; unconcerned for themselves, their selves endure. Is it not because they have no private self? And so their private self is fulfilled.",aligned to our base text,無私者無為於身也身先身存故曰能成其私也八章〔案河上公注本此為易性章〕,
8,河上公,Heshang Gong (Han),1,上善若水,The most masterful are like water.,aligned to our base text,上善之人如水之性,
8,河上公,Heshang Gong (Han),2,水善利萬物,Water is masterful at benefiting the countless things and does not contend.,aligned to our base text,水在天為霧露在地為泉源也,
8,河上公,Heshang Gong (Han),3,而不爭處衆人之所惡,"Water is masterful at benefiting the countless things and does not contend. It dwells in what the crowd loathes,",aligned to our base text,衆人惡卑濕垢濁水獨靜流居之也惡烏路反,
8,河上公,Heshang Gong (Han),4,故幾於道,and so is nearly the Tao.,aligned to our base text,水性幾與道同幾音機,
8,河上公,Heshang Gong (Han),5,居善地,"In settling, masterful at choosing ground.",aligned to our base text,水性善喜於地草木之上即流而下有似於牝動而下人也,
8,河上公,Heshang Gong (Han),6,心善淵,"In the heart, masterful at staying deep.",aligned to our base text,水深空虚淵深清明,
8,河上公,Heshang Gong (Han),7,與善仁,"In giving, masterful at humaneness.",aligned to our base text,萬物得水以生與虚不與盈也,
8,河上公,Heshang Gong (Han),8,言善信,"In speech, masterful at trust.",aligned to our base text,水内影照形不失其情也,
8,河上公,Heshang Gong (Han),9,事善能,"In affairs, masterful at what can be done.",aligned to our base text,能方能圓曲直隨形,
8,河上公,Heshang Gong (Han),10,動善時,"In moving, masterful at timing.",aligned to our base text,夏散冬凝應期而動不失天時,
8,河上公,Heshang Gong (Han),11,夫唯不爭,"Because it does not contend,",aligned to our base text,壅之則止决之則流聽從人也,
8,河上公,Heshang Gong (Han),12,故無尤,there is no blame.,aligned to our base text,水性如是故天下无有怨尤水者也,
9,河上公,Heshang Gong (Han),1,持而盈之不如其巳,"Filling a vessel, stop before spilling. Filling a vessel, stop before spilling.",aligned to our base text,盈滿也巳止也持滿必傾不如止也,
9,河上公,Heshang Gong (Han),2,揣而銳之不可長保,An over-sharpened blade’s edge cannot last. An over-sharpened blade’s edge cannot last.,aligned to our base text,揣治也先揣之後必弃捐揣初委反,
9,河上公,Heshang Gong (Han),3,金玉滿堂莫之能守,The hall of gold and jade can’t be guarded. The hall of gold and jade can’t be guarded.,aligned to our base text,嗜欲傷神財多累身,
9,河上公,Heshang Gong (Han),4,富貴而驕自遺其咎,Those who seek wealth and status with arrogance bring ruin upon themselves. Those who seek wealth and status with arrogance bring ruin upon themselves.,aligned to our base text,大富當賑貧貴當憐賤而反驕恣必被禍患也遺唯季反咎求九反,
9,王弼,Wang Bi (d. 249 CE),1,持而盈之不如其巳,"Filling a vessel, stop before spilling. Filling a vessel, stop before spilling.",aligned to our base text,持謂不失徳也既不失其徳又盈之勢必傾危故不如其巳者謂乃更不如無徳無功者也,
9,王弼,Wang Bi (d. 249 CE),2,金玉滿堂莫之能守,The hall of gold and jade can’t be guarded. The hall of gold and jade can’t be guarded.,aligned to our base text,不若其巳,
9,王弼,Wang Bi (d. 249 CE),3,富貴而驕自遺其咎,Those who seek wealth and status with arrogance bring ruin upon themselves. Those who seek wealth and status with arrogance bring ruin upon themselves.,aligned to our base text,不可長保也,
9,王弼,Wang Bi (d. 249 CE),4,功遂身退〔案河上公注本及各本俱作功成名遂身退〕天之道,"When the work is done, cease striving. This is the way of nature. When the work is done, cease striving. This is the way of nature.",aligned to our base text,四時更運功成則移,
10,河上公,Heshang Gong (Han),1,載營魄,"Housing your soul and embracing the one, can you keep these from parting?",aligned to our base text,營魄魂魄也人載魂魄之上得以生當愛養之喜怒亡魂卒驚傷魄魂在肝魄在肺美酒甘肴腐人肺故魂靜志道不亂魄安得夀延年也,
10,河上公,Heshang Gong (Han),2,抱一能無離,"Housing your soul and embracing the one, can you keep these from parting? Gathering the breath to softness, can you be like an infant?",aligned to our base text,言人能抱一使不離於身則長存一者道始所生大和之精氣也故曰一布名於天下天得一以清地得一以寧侯王得一以為正平入為心出為行布施為德揔名為一一之為言志一无二也離力智反,
10,河上公,Heshang Gong (Han),3,專氣致柔,"Gathering the breath to softness, can you be like an infant?",aligned to our base text,專守精氣使不乱則形躰能應之而柔順,
10,河上公,Heshang Gong (Han),4,滌除玄覽,"Loving the people and governing the state, can you be unknowing?",aligned to our base text,當洗其心使潔淨也心居玄冥之處覽知万事故謂之玄覽也滌徒歷反,
10,河上公,Heshang Gong (Han),5,能無疵,"Loving the people and governing the state, can you be unknowing?",aligned to our base text,不□邪也淨能无疵病乎疵在斯反,
10,河上公,Heshang Gong (Han),6,愛民治國,"When the gate of the sky opens and closes, can you be the hen?",aligned to our base text,治身者愛氣則身全治國者愛民則國安,
10,河上公,Heshang Gong (Han),7,能無知,"Clarity reaching the four quarters, can you be non-doing?",aligned to our base text,治身者呼吸精氣无令耳闻也治國者布施惠德无令下知也,
10,河上公,Heshang Gong (Han),8,天門開闔,"Clarity reaching the four quarters, can you be non-doing?",aligned to our base text,天門謂北極紫㣲宫開闔謂終始五際也治身天門謂鼻孔開謂喘息闔謂呼吸也闔户臘反,
10,河上公,Heshang Gong (Han),9,能無知,"Clarity reaching the four quarters, can you be non-doing?",aligned to our base text,无有能知道滿於天下者,
10,河上公,Heshang Gong (Han),10,生之畜之,"acting yet relying on nothing,",aligned to our base text,道生萬物而畜養之,
10,河上公,Heshang Gong (Han),11,生而不有,growing them without ruling them –,aligned to our base text,道生万物无所取有,
10,河上公,Heshang Gong (Han),12,為而不恃,growing them without ruling them –,aligned to our base text,道所施為不恃望其報也,
10,河上公,Heshang Gong (Han),13,長而不宰,this is called profound integrity.,aligned to our base text,道長養万物不宰割以為器用長丁文反,
10,河上公,Heshang Gong (Han),14,是謂玄德,this is called profound integrity.,aligned to our base text,言道行德玄冥不可得見欲使人如道也,
10,王弼,Wang Bi (d. 249 CE),1,載營魄抱一能無離乎,"Housing your soul and embracing the one, can you keep these from parting? Gathering the breath to softness, can you be like an infant?",aligned to our base text,載猶處也營魄人之常居處也一人之真也言人能處常居之宅抱一清神能常無離乎則萬物自賔也,
10,王弼,Wang Bi (d. 249 CE),2,滌除𤣥覽能無疵乎,"Loving the people and governing the state, can you be unknowing? Loving the people and governing the state, can you be unknowing?",aligned to our base text,𤣥物之極也言能滌除邪飾至於極覽能不以物介其明疵之其神乎〔案二句疑有脫誤〕則終與𤣥同也,
10,王弼,Wang Bi (d. 249 CE),3,愛民治國能無知乎,"When the gate of the sky opens and closes, can you be the hen? Clarity reaching the four quarters, can you be non-doing?",aligned to our base text,任術以求成運數以求匿者智也𤣥覽無疵猶絶聖也治國無以智猶棄智也能無以智乎則民不辟而國治之也,
10,王弼,Wang Bi (d. 249 CE),4,明白四達能無為乎,"giving birth without possessing, giving birth without possessing,",aligned to our base text,言至明四達無迷無惑能無以為乎則物化矣所謂道常無為侯王若能守則萬物自化,
10,王弼,Wang Bi (d. 249 CE),5,生之,"acting yet relying on nothing,",aligned to our base text,不塞其原也,
10,王弼,Wang Bi (d. 249 CE),6,畜之,"acting yet relying on nothing,",aligned to our base text,不禁其性也,
10,王弼,Wang Bi (d. 249 CE),7,生而不有為而不恃長而不宰是謂𤣥徳,growing them without ruling them – growing them without ruling them – this is called profound integrity. this is called profound integrity.,aligned to our base text,不塞其原則物自生何功之有不禁其性則物自濟何為之恃物自長足不吾宰成有徳無主非𤣥而何〔案而永樂大典作如古文而如通用〕凡言𤣥徳皆有徳而不知其主出乎幽□,
11,河上公,Heshang Gong (Han),1,三十輻共一轂,Thirty spokes meet in a single hub.,aligned to our base text,古者車三十輻法月數也共一轂者轂中有孔故衆輻共湊之治身者當除情去欲使五藏空虛神乃歸之也治國者寡能揔衆弱共使強輻音福轂古木反,
11,河上公,Heshang Gong (Han),2,當其無有車之用,"Through the emptiness at its center, the cart can roll. Through the emptiness it contains,",aligned to our base text,无謂空虚轂中空虚車得去行轝中空虚人能載其上也當丁浪反,
11,河上公,Heshang Gong (Han),3,埏埴以為器,"Through the emptiness it contains,",aligned to our base text,埏和也埴土也和土以為飲食之器埏始然反埴市力反,
11,河上公,Heshang Gong (Han),4,當其無有器之用,"A clay vessel becomes useful. Through the empty spaces cut into walls,",aligned to our base text,器中空虚故得有所盛受,
11,河上公,Heshang Gong (Han),5,鑿户牖以為室,A room becomes useful.,aligned to our base text,謂作屋室,
11,河上公,Heshang Gong (Han),6,當其無有室之用,"A room becomes useful. Therefore, filled space creates potential.",aligned to our base text,言户牖空虚人得以出入觀視室中空虚人得以居處是其用,
11,河上公,Heshang Gong (Han),7,故有之以為利,Empty space makes things useful.,aligned to our base text,利物也利於形用器中有物室中有人恐其屋破壞腹中有神畏形之消亡也,
11,河上公,Heshang Gong (Han),8,無之以為用,Empty space makes things useful.,aligned to our base text,言虚空者乃可用盛受萬物故曰虚无能制有形道者空也,
11,王弼,Wang Bi (d. 249 CE),1,三十輻共一轂當其無有車之用,"Thirty spokes meet in a single hub. Through the emptiness at its center, the cart can roll. Through the emptiness it contains,",aligned to our base text,轂所以能統三十輻者無也以其無能受物之故故能以實統衆也,
12,河上公,Heshang Gong (Han),1,五色令人目盲,The full spectrum of colors makes the eyes blind.,aligned to our base text,貪淫好色則傷精失明也令力征反盲陌庚反,
12,河上公,Heshang Gong (Han),2,五音令人耳聾,The full spectrum of tones makes the ears deaf.,aligned to our base text,好聽五音則和氣去心不能聽無聲之聲聾力東反,
12,河上公,Heshang Gong (Han),3,五味令人口爽,The full spectrum of flavors makes the palate dull.,aligned to our base text,爽亡也人嗜五味於口則口亡言失於道味也,
12,河上公,Heshang Gong (Han),4,馳騁田獵令人心發狂,Galloping in pursuit of prey makes the heart wild. Galloping in pursuit of prey makes the heart wild.,aligned to our base text,人精神好安靜馳騁呼吸精神散亡故發狂也騁敕領反,
12,河上公,Heshang Gong (Han),5,難得之貨令人行妨,"Rare goods make actions corrupt. Therefore the sage acts for the belly, not for the eye.",aligned to our base text,妨傷也難得之貨謂金銀珠玉心貪意欲不知厭足則行傷身辱也行下孟反妨音方,
12,河上公,Heshang Gong (Han),6,是以聖人為腹,They let go of what is out there and take what is here.,aligned to our base text,守五性去六情節志氣養神明,
12,河上公,Heshang Gong (Han),7,不為目,They let go of what is out there and take what is here.,aligned to our base text,目不妄視妄視泄精於外,
12,河上公,Heshang Gong (Han),8,故去彼取此,They let go of what is out there and take what is here.,aligned to our base text,去彼目之妄視取此腹之養性去羌吕反,
12,王弼,Wang Bi (d. 249 CE),1,五色令人目盲五音令人耳聾五味令人口爽馳騁畋獵令人心發狂,The full spectrum of colors makes the eyes blind. The full spectrum of tones makes the ears deaf. The full spectrum of flavors makes the palate dull. Galloping in pursuit of prey makes the heart wild. Galloping in pursuit of prey makes the heart wild.,aligned to our base text,爽差失也失口之用故謂之爽夫耳目口心皆順其性也不以順性命反以傷自然故曰盲聾爽狂也,
12,王弼,Wang Bi (d. 249 CE),2,難得之貨令人行妨,"Rare goods make actions corrupt. Therefore the sage acts for the belly, not for the eye.",aligned to our base text,難得之貨塞人正路故令人行妨也,
12,王弼,Wang Bi (d. 249 CE),3,是以聖人為腹不為目故去彼取此,They let go of what is out there and take what is here. They let go of what is out there and take what is here.,aligned to our base text,為腹者以物養己為目者以物役己故聖人不為目也,
13,河上公,Heshang Gong (Han),1,寵辱若驚,Both favor and disgrace cause alarm.,aligned to our base text,身寵亦驚身辱亦驚,
13,河上公,Heshang Gong (Han),2,貴大患若身,Value misfortune as your own body.,aligned to our base text,貴畏也若至也畏大患至身故皆驚,
13,河上公,Heshang Gong (Han),3,何謂寵辱,What does it mean that favor and disgrace both cause alarm?,aligned to our base text,問何為寵何為辱寵者尊　榮辱者恥辱及身還自問者以曉人也,
13,河上公,Heshang Gong (Han),4,得之若驚,You must stoop to receive favor.,aligned to our base text,得寵榮驚者處髙位如臨深危也貴不敢驕富不敢奢,
13,河上公,Heshang Gong (Han),5,失之若驚,Receiving it causes alarm.,aligned to our base text,失者失寵處辱也驚者恐禍重來也,
