character,pinyin,gloss,our_render,shuowen_headword,matched_by,shuowen_section,construction,fanqie_middle_chinese,semantic_parts,phonetic_parts,occurrences,tier,centrality,shuowen_definition_chinese,shuowen_definition_english
可,kě,,,可,exact,可,phonetic-compound,,口 (kǒu = mouths) + 丂 (? = not yet glossed),丂 (? = not yet glossed),36,,0.2143,𦘫也。从口丂，丂亦聲。凡可之屬皆从可。,
夫,Fū,Now then,,夫,exact,夫,compound,,大 (dà = ),,30,,0.2079,丈夫也。从大，一以象簪也。周制以八寸爲尺，十尺爲丈。人長八尺，故曰丈夫。凡夫之屬皆从夫。,
生,shēng,give birth to / bear / bring forth,give birth to / bear / bring forth,生,exact,生,pictograph,,,,38,locked,0.2064,進也。象艸木生出土上。凡生之屬皆从生。,
則,zé,then/thus,,則,exact,刀,compound,,"刀 (dāo = a knife) + 貝 (bèi = a cowrie shell — money, worth)",,32,,0.201,等畫物也。从刀从貝。貝，古之物貨也。,
得,dé,,,得,exact,彳,phonetic-compound,,彳 (chì = a step taken; going),㝵 (? = not yet glossed),33,,0.1998,行有所得也。从彳㝵聲。,
德,dé,integrity,integrity,德,exact,彳,phonetic-compound,,彳 (chì = a step taken; going),㥁 (? = not yet glossed),44,locked,0.1976,升也。从彳㥁聲。,
所,suǒ,,,所,exact,斤,phonetic-compound,,斤 (jīn = an axe),戶 (hù = doors),26,,0.1875,伐木聲也。从斤戶聲。《詩》曰：“伐木所所。”,
能,néng,can,,能,exact,能,phonetic-compound,,肉 (ròu = flesh),㠯 (? = not yet glossed),33,,0.1872,熊屬。足似鹿。从肉㠯聲。能獸堅中，故稱賢能；而彊壯，稱能傑也。凡能之屬皆从能。,
常,cháng,the ever-present / the abiding,the ever-present / the abiding,常,exact,巾,phonetic-compound,,巾 (jīn = a cloth),尚 (shàng = still),30,locked,0.1839,下帬也。从巾尚聲。,
自,zì,,,自,exact,自,pictograph,,,,33,Tier 1,0.1837,鼻也。象鼻形。凡自之屬皆从自。,
民,mín,people,,民,exact,民,compound,,古 (gǔ = ancient) + 文 (wén = culture/adornment) + 之 (zhī = it) + 象 (xiàng = ),,32,,0.1662,眾萌也。从古文之象。凡民之屬皆从民。,
萬,wàn,countless,countless,萬,exact,禸,compound,,厹 (? = not yet glossed),,21,Tier 2,0.1638,蟲也。从厹，象形。,
欲,yù,,,欲,exact,欠,phonetic-compound,,"欠 (qiàn = a person with the mouth open — breath, wanting)",谷 (Gǔ = ),26,,0.1621,貪欲也。从欠谷聲。,
行,xíng,,,行,exact,行,compound,,彳 (chì = a step taken; going) + 亍 (? = not yet glossed),,20,,0.157,人之步趨也。从彳从亍。凡行之屬皆从行。,
言,yán,,,言,exact,言,phonetic-compound,,口 (kǒu = mouths),䇂 (? = not yet glossed),21,,0.1538,直言曰言，論難曰語。从口䇂聲。凡言之屬皆从言。,
貴,guì,,,貴,exact,貝,phonetic-compound,,"貝 (bèi = a cowrie shell — money, worth)",臾 (? = not yet glossed),22,,0.1525,物不賤也。从貝臾聲。臾，古文蕢。,
吾,Wú,the self seeing,the self seeing,吾,exact,口,phonetic-compound,,口 (kǒu = mouths),五 (Wǔ = Five),22,locked,0.1482,我，自稱也。从口五聲。,
用,yòng,use,use,用,exact,用,compound,,卜 (? = not yet glossed) + 中 (zhōng = not yet glossed),,22,locked,0.1439,可施行也。从卜从中。衞宏說。凡用之屬皆从用。,
事,shì,"affairs / undertakings (noun) · to serve, to attend to (verb)","affairs / undertakings (noun) · to serve, to attend to (verb)",事,exact,史,phonetic-compound,,史 (? = not yet glossed),之 (zhī = it),21,locked,0.1363,職也。从史，之省聲。,
強,qiáng,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature","strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",強,exact,虫,phonetic-compound,,"虫 (chóng = an insect, a crawling creature)",弘 (? = not yet glossed),22,locked,0.1348,蚚也。从虫弘聲。,
莫,mò,no one,,莫,exact,茻,compound,,日 (rì = day) + 在 (zài = place in) + 茻 (? = not yet glossed) + 中 (zhōng = not yet glossed),,20,,0.1345,日且冥也。从日在茻中。,
兮,xī,oh,,兮,exact,兮,compound,,丂 (? = not yet glossed),,28,,0.1325,語所稽也。从丂，八象气越亏也。凡兮之屬皆从兮。,
將,jiāng,that is about to,,將,exact,寸,phonetic-compound,,寸 (cùn = not yet glossed),𤖕 (? = not yet glossed),23,,0.1257,帥也。从寸，𤖕省聲。,
此,Cǐ,this,,此,exact,此,compound,,"止 (zhǐ = stopping point) + 匕 (bǐ = a spoon, a ladle)",,16,,0.1219,止也。从止从匕。匕，相比次也。凡此之屬皆从此。,
成,chéng,,,成,exact,戊,phonetic-compound,,戊 (? = not yet glossed),丁 (? = not yet glossed),17,,0.1201,就也。从戊丁聲。,
國,guó,state,,國,exact,囗,compound,,"囗 (wéi = an enclosure, a boundary) + 或 (huò = sometimes)",,25,,0.1197,邦也。从囗从或。,
身,shēn,body/self,,身,exact,身,phonetic-compound,,人 (rén = ),𠂆 (? = not yet glossed),23,,0.1194,躳也。象人之身。从人𠂆聲。凡身之屬皆从身。,
足,zú,,,足,exact,足,compound,,止 (zhǐ = stopping point),,19,,0.1178,人之足也。在下。从止、口。凡足之屬皆从足。,
上,Shàng,,,上,exact,丄,unanalysed,時掌切,,,19,,0.1139,高也。此古文上，指事也。凡丄之屬皆从丄。,
名,míng,,,名,exact,口,compound,,口 (kǒu = mouths) + 夕 (xī = evening — the moon half shown),,23,Tier 3,0.1129,自命也。从口从夕。夕者，冥也。冥不相見，故以口自名。,
唯,wéi,Agreement/yes,,唯,exact,口,phonetic-compound,,口 (kǒu = mouths),隹 (zhuī = a short-tailed bird),16,,0.1121,諾也。从口隹聲。,
曰,yuē,called,,曰,exact,曰,phonetic-compound,,口 (kǒu = mouths),乙 (? = not yet glossed),22,,0.1118,詞也。从口乙聲。亦象口气出也。凡曰之屬皆从曰。,
與,yǔ,,,與,exact,舁,compound,,舁 (yú = four hands lifting together) + 与 (? = not yet glossed),,15,,0.1114,黨與也。从舁从与。,
然,rán,,,然,exact,火,phonetic-compound,,火 (huǒ = fire),肰 (? = not yet glossed),12,Tier 1,0.1075,燒也。从火肰聲。,
處,chǔ,,,処,old-form,几,compound,,"几 (jī = a low table, a stool) + 夂 (? = not yet glossed)",,15,,0.1075,止也。得几而止。从几从夂。,
勝,Shèng,One who overcomes/defeats,,勝,exact,力,phonetic-compound,,力 (lì = force),朕 (? = not yet glossed),16,,0.1065,任也。从力朕聲。,
死,sǐ,,,死,exact,死,compound,,"歺 (è = splintered bone — death, decay) + 人 (rén = )",,18,,0.1063,澌也，人所離也。从歺从人。凡死之屬皆从死。,
我,Wǒ,the self seen,the self seen,我,exact,我,compound,,戈 (gē = a dagger-axe) + 𠄒 (? = not yet glossed),,19,locked,0.1059,施身自謂也。或說我，頃頓也。从戈从𠄒。𠄒，或說古垂字。一曰古殺字。凡我之屬皆从我。,
長,cháng,,,長,exact,長,phonetic-compound,,"兀 (? = not yet glossed) + 匕 (bǐ = a spoon, a ladle)",亾 (? = not yet glossed),16,,0.1052,久遠也。从兀从匕。兀者，高遠意也。久則變化。亾聲。{{?,
也,yě,particle,,也,exact,乁,pictograph,,,,14,Tier 0,0.1021,女陰也。象形。,
地,dì,earth,,地,exact,土,phonetic-compound,,土 (tǔ = not yet glossed),也 (yě = particle),18,Tier 0,0.1018,元气初分，輕清陽爲天，重濁陰爲地。萬物所陳𠛱也。从土也聲。,
一,yī,the one (lowercase) · one thing (ch 22) · plain numeral where it counts,the one (lowercase) · one thing (ch 22) · plain numeral where it counts,一,exact,一,unanalysed,於悉切,,,15,Tier 2,0.0993,惟初太始，道立於一，造分天地，化成萬物。凡一之屬皆从一。,
何,Hé,What,,何,exact,人,phonetic-compound,,人 (rén = ),可 (kě = ),14,,0.0978,儋也。从人可聲。,
復,Fù,,,復,exact,彳,phonetic-compound,,彳 (chì = a step taken; going),复 (? = not yet glossed),15,Tier 3,0.0961,往來也。从彳复聲。,
多,Duō,Many/much,,多,exact,多,compound,,重 (Zhòng = Heavy/mass) + 夕 (xī = evening — the moon half shown),,14,,0.0947,重也。从重夕。夕者，相繹也，故爲多。重夕爲多，重日爲曡。凡多之屬皆从多。,
明,Míng,clear-seeing / clarity,clear-seeing / clarity,朙,old-form,朙,compound,,月 (yuè = the moon) + 囧 (jiǒng = a lattice window letting light through),,13,Tier 1,0.0947,照也。从月从囧。凡朙之屬皆从朙。,
器,qì,vessel / tool / implement,vessel / tool / implement,器,exact,㗊,pictograph,,,,12,Tier 1,0.0919,皿也。象器之口，犬所以守之。,
見,jiàn,,,見,exact,見,unanalysed,,,,14,,0.0919,視也。从-{儿}-从目。凡見之屬皆从見。,
亦,yì,also,,亦,exact,亦,compound,,大 (dà = ),,13,,0.0899,人之臂亦也。从大，象兩亦之形。凡亦之屬皆从亦。,
王,wáng,ruler / sovereign · to rule (verb),ruler / sovereign · to rule (verb),王,exact,王,unanalysed,雨方切,,,13,Tier 3,0.088,天下所歸往也。董仲舒曰：「古之造文者，三畫而連其中謂之王。三者，天、地、人也，而參通之者，王也。」孔子曰：「一貫三爲王。」凡王之屬皆从王。,
失,Shī,,,失,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),乙 (? = not yet glossed),17,,0.0879,縱也。从手乙聲。,
相,xiāng,,,相,exact,目,compound,,目 (mù = eyes) + 木 (mù = not yet glossed),,14,,0.0876,省視也。从目从木。《易》曰：“地可觀者，莫可觀於木。”《詩》曰：“相鼠有皮。”,
兵,bīng,,,兵,exact,𠬞,compound,,廾 (gǒng = two hands raised together) + 持 (Chí = Holding/grasping) + 斤 (jīn = an axe),,12,,0.0826,械也。从廾持斤，并力之皃。,
必,bì,must,,必,exact,八,phonetic-compound,,"八 (bā = eight; to divide, to part)",弋 (yì = a stake; a tethered arrow),14,,0.0822,分極也。从八、弋，弋亦聲。,
利,lì,advantage,advantage,利,exact,刀,compound,,刀 (dāo = a knife) + 和 (hé = harmonious),,10,locked,0.0816,銛也。从刀。和然後利，从和省。《易》曰：“利者，義之和也。”,
後,hòu,,,後,exact,彳,compound,,彳 (chì = a step taken; going),,11,,0.0799,遲也。从彳、幺、夊者，後也。,
或,huò,sometimes,,或,exact,戈,compound,,"囗 (wéi = an enclosure, a boundary) + 戈 (gē = a dagger-axe)",,18,,0.0797,邦也。从囗从戈，以守一。一，地也。,
柔,róu,suppleness/softness,,柔,exact,木,phonetic-compound,,木 (mù = not yet glossed),矛 (? = not yet glossed),11,,0.0791,木曲直也。从木矛聲。,
治,zhì,,,治,exact,水,phonetic-compound,,水 (shuǐ = water),台 (? = not yet glossed),13,,0.0791,水。出東萊曲城陽丘山，南入海。从水台聲。,
矣,yǐ,particle,,矣,exact,矢,phonetic-compound,,矢 (shǐ = an arrow),以 (yǐ = ),10,,0.0788,語已詞也。从矢以聲。,
終,zhōng,last the whole,,終,exact,糸,phonetic-compound,,糸 (mì = silk thread),冬 (dōng = not yet glossed),10,,0.0788,絿絲也。从糸冬聲。,
歸,guī,return,,歸,exact,止,phonetic-compound,,止 (zhǐ = stopping point) + 婦 (? = not yet glossed),𠂤 (? = not yet glossed),11,,0.0778,女嫁也。从止，从婦省，𠂤聲。,
使,shǐ,,,使,exact,人,phonetic-compound,,人 (rén = ),吏 (? = not yet glossed),11,,0.0763,伶也。从人吏聲。,
三,Sān,three,,三,exact,三,compound,穌甘切,三 (Sān = three) + 數 (shù = not yet glossed),,11,,0.0758,天、地、人之道也。从三數。凡三之屬皆从三。,
信,xìn,trust / trustworthy,trust / trustworthy,信,exact,言,compound,,人 (rén = ) + 言 (yán = ),,15,Tier 3,0.0755,誠也。从人从言。會意。,
子,zǐ,,,子,exact,子,pictograph,,,,9,,0.0753,十一月，陽气動，萬物滋，人以爲偁。象形。凡子之屬皆从子。,
取,qǔ,,,取,exact,又,compound,,又 (yòu = not yet glossed) + 耳 (ěr = ears),,12,,0.0748,捕取也。从又从耳。《周禮》：“獲者取左耳。”《司馬法》曰：“載獻聝。”聝者，耳也。,
居,jū,,,居,exact,-{尸}-,compound,,尸 (shī = a body laid out; a seated figure) + 古 (gǔ = ancient) + 者 (zhě = those),,11,,0.0747,蹲也。从尸古者，居从古。,
如,rú,Like,,如,exact,女,compound,,隨 (suí = ) + 也 (yě = particle) + 女 (nǚ = a woman) + 口 (kǒu = mouths),,10,,0.0745,从隨也。从女从口。,
谷,Gǔ,,,谷,exact,谷,compound,,水 (shuǐ = water) + 半 (? = not yet glossed) + 見 (jiàn = ),,10,,0.0734,泉出通川爲谷。从水半見，出於口。凡谷之屬皆从谷。,
守,shǒu,,,守,exact,宀,compound,,宀 (mián = a roof; under a house) + 寸 (cùn = not yet glossed),,11,,0.0724,守官也。从宀从寸。寺府之事者。从寸。寸，法度也。,
小,xiǎo,small,,小,exact,小,compound,,"八 (bā = eight; to divide, to part)",,10,,0.0723,物之微也。从八，丨見而分之。凡小之屬皆从小。,
久,jiǔ,,,久,exact,久,pictograph,,,,10,,0.0721,以後灸之，象人兩脛後有距也。《周禮》曰：“久諸牆以觀其橈。”凡久之屬皆从久。,
靜,jìng,,,靜,exact,青,phonetic-compound,,"青 (qīng = blue-green, the colour of growing things)",爭 (zhēng = contend / contention),10,,0.0713,審也。从青爭聲。,
心,xīn,heart,heart,心,exact,心,pictograph,,,,10,Tier 2,0.0704,人心，土藏，在身之中。象形。博士說以爲火藏。凡心之屬皆从心。,
非,fēi,they are not,,非,exact,非,compound,,飛 (? = not yet glossed) + 下 (xià = ) + 翄 (? = not yet glossed),,10,,0.0702,違也。从飛下翄，取其相背。凡非之屬皆从非。,
爭,zhēng,contend / contention,contend / contention,爭,exact,𠬪,compound,,𠬪 (? = not yet glossed),,10,Tier 3,0.0691,引也。从𠬪、𠂆。,
盈,yíng,,,盈,exact,皿,compound,,皿 (? = not yet glossed),,9,,0.0688,滿器也。从皿、夃。,
弱,ruò,yielding — and *weaken* only where it takes an object,yielding — and *weaken* only where it takes an object,弱,exact,彡,pictograph,,,,10,locked,0.0682,橈也。上象橈曲，彡象毛氂橈弱也。弱物并，故从二𢎥。,
先,xiān,,,先,exact,先,unanalysed,,,,8,Tier 3,0.0677,前進也。从-{儿}-从之。凡先之屬皆从先。,
餘,yú,leftover/surplus,,餘,exact,食,phonetic-compound,,食 (shí = ),"余 (yú = a shelter; and, borrowed, 'I')",9,,0.0669,饒也。从食余聲。,
執,Zhí,,,執,exact,㚔,phonetic-compound,,丮 (? = not yet glossed) + 幸 (? = not yet glossed),幸 (? = not yet glossed),9,,0.0656,捕罪人也。从丮从幸，幸亦聲。,
古,gǔ,ancient,,古,exact,古,compound,,十 (shí = not yet glossed),,8,,0.0643,故也。从十、口。識前言者也。凡古之屬皆从古。,
樸,pǔ,uncarved wood / the uncarved,uncarved wood / the uncarved,樸,exact,木,phonetic-compound,,木 (mù = not yet glossed),菐 (? = not yet glossed),8,Tier 1,0.0634,木素也。从木菐聲。,
焉,yān,here,,焉,exact,烏,pictograph,,,,9,,0.0634,焉鳥，黃色，出於江淮。象形。凡字：朋者，羽蟲之屬；烏者，日中之禽；舄者，知太歲之所在；燕者，請子之𠋫，作巢避戊己。所䝿者故皆象形。焉亦是也。,
易,yì,,,易,exact,易,pictograph,,,,11,,0.0633,蜥易，蝘蜓，守宮也。象形。《祕書》說：日月爲易，象陰陽也。一曰从勿。凡易之屬皆从易。,
始,shǐ,beginnings/origins,,始,exact,女,phonetic-compound,,女 (nǚ = a woman),台 (? = not yet glossed),8,Tier 3,0.0621,女之初也。从女台聲。,
玄,xuán,dark or profound,dark or profound,玄,exact,玄,pictograph,,,,12,locked,0.062,幽遠也。黑而有赤色者爲玄。象幽而入覆之也。凡玄之屬皆从玄。,
去,qù,,,去,exact,去,phonetic-compound,,大 (dà = ),𠙴 (? = not yet glossed),10,,0.0615,人相違也。从大𠙴聲。凡去之屬皆从去。,
至,zhì,,,至,exact,至,compound,,高 (gāo = not yet glossed) + 下 (xià = ) + 至 (zhì = not yet glossed) + 地 (dì = earth) + 也 (yě = particle) + 一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts),,8,,0.0612,鳥飛从高下至地也。从一，一猶地也。象形。不，上去；而至，下來也。凡至之屬皆从至。,
和,hé,harmonious,,和,exact,口,phonetic-compound,,口 (kǒu = mouths),禾 (hé = standing grain),8,,0.061,相譍也。从口禾聲。,
甚,shèn,,,甚,exact,甘,compound,,甘 (gān = not yet glossed) + 匹 (? = not yet glossed) + 耦 (? = not yet glossed) + 也 (yě = particle),,9,,0.0606,尤安樂也。从甘，从匹耦也。,
眾,zhòng,the crowd / the many,the crowd / the many,眾,exact,㐺,compound,,乑 (? = not yet glossed),,9,Tier 1,0.0604,多也。从乑、目，衆意。,
哉,zāi,alas,,哉,exact,口,phonetic-compound,,口 (kǒu = mouths),𢦔 (? = not yet glossed),7,,0.0599,言之閒也。从口𢦔聲。,
重,Zhòng,Heavy/mass,,重,exact,重,phonetic-compound,,壬 (? = not yet glossed),東 (? = not yet glossed),6,,0.059,厚也。从壬東聲。凡重之屬皆从重。,
令,lìng,cause,,令,exact,卩,compound,,亼 (jí = to gather together),,8,,0.0584,發號也。从亼、卪。,
輕,qīng,,,輕,exact,車,phonetic-compound,,車 (chē = not yet glossed),坙 (? = not yet glossed),8,,0.0584,輕車也。从車坙聲。,
猶,yóu,,,猶,exact,犬,phonetic-compound,,犬 (quǎn = not yet glossed),酋 (? = not yet glossed),6,,0.0575,玃屬。从犬酋聲。一曰隴西謂犬子爲猷。,
皆,jiē,all,,皆,exact,𪞶,compound,,比 (bǐ = not yet glossed) + 𪞶 (? = not yet glossed),,8,,0.0571,俱詞也。从比从𪞶。,
乎,hū,question particle,,乎,exact,兮,compound,,兮 (xī = oh),,10,,0.0565,語之餘也。从兮，象聲上越揚之形也。,
功,gōng,,,功,exact,力,phonetic-compound,,"力 (lì = force) + 工 (gōng = a carpenter's square — work, craft)","工 (gōng = a carpenter's square — work, craft)",7,,0.0565,以勞定國也。从力从工，工亦聲。,
固,gù,,,固,exact,囗,phonetic-compound,,"囗 (wéi = an enclosure, a boundary)",古 (gǔ = ancient),8,,0.056,四塞也。从囗古聲。,
美,měi,glorifying/beautifying,,美,exact,羊,compound,,羊 (yáng = a sheep) + 大 (dà = ),,9,,0.0552,甘也。从羊从大。羊在六畜主給膳也。美與善同意。,
樂,lè,glad/happy,,樂,exact,木,pictograph,,,,8,,0.055,五聲八音緫名。象鼓鞞。木，虡也。,
畏,wèi,fear,,畏,exact,甶,compound,,甶 (? = not yet glossed),,8,,0.0548,惡也。从甶，虎省。鬼頭而虎爪，可畏也。,
百,bǎi,hundred,,百,exact,𪞶,compound,,一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts),,7,,0.0547,十十也。从一、白。數，十百爲一貫。相章也。,
主,zhǔ,,,主,exact,丶,phonetic-compound,,"丶 (zhǔ = a mark, a point)","丶 (zhǔ = a mark, a point)",6,,0.0545,鐙中火主也。从{{?,
出,chū,emerge,,出,exact,出,pictograph,,,,7,,0.0545,進也。象艸木益滋，上出達也。凡出之屬皆从出。,
乃,nǎi,leads to,,乃,exact,乃,pictograph,,,,12,,0.054,曳詞之難也。象气之出難。凡𠄎之屬皆从𠄎。,
已,yǐ,,,巳,orthographic,巳,pictograph,,,,9,,0.0539,巳也。四月，陽气巳出，陰气巳藏，萬物見，成文章，故巳爲蛇，象形。凡巳之屬皆从巳。,
日,rì,day,,日,exact,日,compound,,"囗 (wéi = an enclosure, a boundary) + 一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts)",,6,,0.0534,實也。太陽之精不虧。从囗一。象形。凡日之屬皆从日。,
仁,rén,humaneness,humaneness,仁,exact,人,compound,,人 (rén = ) + 二 (èr = not yet glossed),,8,Tier 3,0.0528,親也。从人从二。,
作,zuò,,,作,exact,人,compound,,人 (rén = ) + 乍 (? = not yet glossed),,7,,0.0526,起也。从人从乍。,
惡,è,,,惡,exact,心,phonetic-compound,,心 (xīn = heart),亞 (? = not yet glossed),7,,0.0511,過也。从心亞聲。,
正,zhèng,,,正,exact,正,compound,,止 (zhǐ = stopping point),,7,,0.0504,是也。从止，一以止。凡正之屬皆从正。,
母,mǔ,mother,mother,母,exact,女,compound,,女 (nǚ = a woman),,7,locked,0.0493,牧也。从女，象褱子形。一曰象乳子也。,
聞,wén,hearing,,聞,exact,耳,phonetic-compound,,耳 (ěr = ears),門 (mén = ),7,,0.0493,知聞也。从耳門聲。,
雖,Suī,,,雖,exact,虫,phonetic-compound,,"虫 (chóng = an insect, a crawling creature)",唯 (wéi = Agreement/yes),6,,0.048,似蜥蜴而大。从虫唯聲。,
同,tóng,merge/identify,,同,exact,𠔼,compound,,𠔼 (? = not yet glossed) + 口 (kǒu = mouths),,11,,0.0472,合會也。从𠔼从口。,
動,dòng,,,動,exact,力,phonetic-compound,,力 (lì = force),重 (Zhòng = Heavy/mass),5,,0.0467,作也。从力重聲。,
愛,Ài,loving/cherishing,,愛,exact,夊,phonetic-compound,,"夊 (suī = walking slowly, dragging the feet)",㤅 (? = not yet glossed),5,,0.0467,行皃。从夊㤅聲。,
未,wèi,,,未,exact,未,pictograph,,,,7,,0.0465,味也。六月，滋味也。五行，木老於未。象木重枝葉也。凡未之屬皆从未。,
觀,guān,,,觀,exact,見,phonetic-compound,,見 (jiàn = ),雚 (? = not yet glossed),9,,0.0457,諦視也。从見雚聲。,
厚,hòu,,,厚,exact,㫗,compound,,"𣆪 (? = not yet glossed) + 厂 (hǎn = a cliff, an overhang)",,5,,0.0456,山陵之厚也。从𣆪从厂。,
君,jūn,master/ruler,,君,exact,口,compound,,尹 (? = not yet glossed),,6,,0.0452,尊也。从尹。發號，故从口。,
殺,shā,in killing,,殺,exact,殺,phonetic-compound,,殳 (? = not yet glossed),杀 (? = not yet glossed),9,,0.0448,戮也。从殳杀聲。凡殺之屬皆从殺。,
極,jí,extreme/limit,,極,exact,木,phonetic-compound,,木 (mù = not yet glossed),亟 (? = not yet glossed),6,,0.0447,棟也。从木亟聲。,
安,ān,take the calm/at rest,,安,exact,宀,compound,,女 (nǚ = a woman) + 在 (zài = place in) + 宀 (mián = a roof; under a house) + 下 (xià = ),,5,,0.0445,靜也。从女在宀下。,
親,qīn,,,親,exact,見,phonetic-compound,,見 (jiàn = ),亲 (? = not yet glossed),5,,0.0445,至也。从見亲聲。,
食,shí,,,食,exact,食,phonetic-compound,,皀 (? = not yet glossed),亼 (jí = to gather together),5,,0.0445,一米也。从皀亼聲。或說亼皀也。凡食之屬皆从食。,
神,shén,,,神,exact,示,phonetic-compound,食鄰切,示 (shì = not yet glossed),申 (? = not yet glossed),8,,0.0444,天神，引出萬物者也。从示，申聲。,
益,yì,,,益,exact,皿,compound,,水 (shuǐ = water),,6,,0.0439,饒也。从水、皿。皿，益之意也。,
損,sǔn,,,損,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),員 (? = not yet glossed),8,,0.0424,減也。从手員聲。,
兩,liǎng,,,兩,exact,㒳,compound,,一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts),,5,,0.0423,二十四銖爲一兩。从一；㒳，平分，亦聲。,
中,zhōng,,,中,exact,丨,compound,陟弓切,口 (kǒu = mouths),,7,,0.042,内也。从口。丨，上下通。,
致,zhì,,,致,exact,夊,compound,,"夊 (suī = walking slowly, dragging the feet) + 至 (zhì = not yet glossed)",,5,,0.0415,送詣也。从夊从至。,
恃,shì,rely on — the heart putting its weight on something,rely on — the heart putting its weight on something,恃,exact,心,phonetic-compound,,心 (xīn = heart),寺 (? = not yet glossed),5,locked,0.0413,賴也。从心寺聲。,
左,zuǒ,,,左,exact,左,compound,,𠂇 (? = not yet glossed),,5,,0.0406,手相左助也。从𠂇、工。凡左之屬皆从左。,
根,gēn,root,,根,exact,木,phonetic-compound,,木 (mù = not yet glossed),艮 (? = not yet glossed),5,,0.0404,木株也。从木艮聲。,
