chapter,line,block,chinese,pinyin,literal_gloss,our_english,alignment_method
8,5,2,居善地，,"Jū shàn dì,","In dwelling \[ju\], be good at the place/ground \[di\],","In a dwelling, it is a solid foundation.",exact-count
8,6,2,心善淵，,"xīn shàn yuān,","in mind/heart \[xin\], be good at depth/abyss \[yuan\],","In heart, it is limitless depth.",exact-count
8,7,2,與善仁，,"yǔ shàn rén,","in giving/associating \[yu\], be good at humanity/benevolence \[ren\],","In the act of giving, it is pure kindness.",exact-count
8,8,2,言善信，,"yán shàn xìn,","in speaking/words \[yan\], be good at trustworthiness/reliability \[xin\],","In speech, it is trustworthy.",exact-count
8,9,2,政善治，,"zhèng shàn zhì,","in governing \[zheng\], be good at order/management \[zhi\],","In governing, it is good order.",exact-count
8,10,2,事善能，,"shì shàn néng,","in affairs/tasks \[shi\], be good at ability/competence \[neng\],","In daily affairs, it is skillful.",exact-count
8,11,2,動善時。,dòng shàn shí.,"in moving/action \[dong\], be good at timing \[shi\].","In action, it has good timing.",exact-count
8,12,3,夫唯不爭，,"Fū wéi bù zhēng,","Now only/precisely \[fu wei\] because it does not contend \[zheng\],","Because it doesn’t contend,",exact-count
8,13,3,故無尤。,gù wú yóu.,therefore \[gu\] there is no \[wu\] blame/fault \[you\].,It is always blameless.,exact-count
9,1,1,持而盈之，,"Chí ér yíng zhī,","Holding/grasping \[chi\] and \[er\] filling \[ying\] it \[zhi\],","Filling a vessel, stop before spilling.",proportional
9,2,1,不如其已；,bù rú qí yǐ;,is not as good as \[bu ru\] stopping \[yi\];,"Filling a vessel, stop before spilling.",proportional-fill
9,3,1,揣而銳之，,"chuǎi ér ruì zhī,","hammering/feeling \[chuai\] and sharpening \[rui\] it,",An over-sharpened blade’s edge cannot last.,proportional
9,4,1,不可長保。,bù kě cháng bǎo.,cannot \[bu ke\] be long \[chang\] preserved/guarded \[bao\].,An over-sharpened blade’s edge cannot last.,proportional-fill
9,5,2,金玉滿堂，,"Jīn yù mǎn táng,","Gold \[jin\] and jade \[yu\] filling \[man\] the hall \[tang\],",The hall of gold and jade can’t be guarded.,proportional
9,6,2,莫之能守；,mò zhī néng shǒu;,no one \[mo\] can \[neng\] guard/protect \[shou\] it;,The hall of gold and jade can’t be guarded.,proportional-fill
9,7,2,富貴而驕，,"fù guì ér jiāo,","wealth \[fu\] and high status \[gui\] combined with arrogance \[jiao\],",Those who seek wealth and status with arrogance bring ruin upon themselves.,proportional
9,8,2,自遺其咎。,zì yí qí jiù.,brings upon oneself \[zi yi\] its \[qi\] disaster/blame \[jiu\].,Those who seek wealth and status with arrogance bring ruin upon themselves.,proportional-fill
9,9,3,功遂身退，,"Gōng suì shēn tuì,","Work/merit \[gong\] accomplished/completed \[sui\], the body/self \[shen\] retreats/retires \[tui\],","When the work is done, cease striving. This is the way of nature.",proportional
9,10,3,天之道。,tiān zhī dào.,the Tao/way of Heaven \[tian\].,"When the work is done, cease striving. This is the way of nature.",proportional-fill
10,1,1,載營魄抱一，,"Zài yíng pò bào yī,","Carrying \[zai\] the vital/encampment \[ying\] soul \[po\] and embracing \[bao\] the One \[yi\],","Being embodied and embracing the one, can you remain whole?",proportional
10,2,1,能無離乎？,néng wú lí hū?,can you \[neng\] not \[wu\] depart/separate \[li\]?,"Flowing with life energy and achieving softness, can you be like a newborn?",proportional
10,3,1,專氣致柔，,"Zhuān qì zhì róu,","Concentrating \[zhuan\] the vital breath \[qi\] to reach \[zhi\] suppleness/softness \[rou\],","Flowing with life energy and achieving softness, can you be like a newborn?",proportional-fill
10,4,1,能如嬰兒乎？,néng rú yīng ér hū?,can you be like \[ru\] a newborn infant \[ying er\]?,"Cleaning the dark mirror, can you see what truly is?",proportional
10,5,2,滌除玄覽，,"Dí chú xuán lǎn,","Washing \[di\] and clearing \[chu\] the dark/mysterious \[xuan\] mirror/vision \[lan\],","Governing people with love, can you lead without doing?",proportional
10,6,2,能無疵乎？,néng wú cī hū?,can you be without \[wu\] flaw/blemish \[ci\]?,"Governing people with love, can you lead without doing?",proportional-fill
10,7,2,愛民治國，,"Ài mín zhì guó,","Loving \[ai\] the people \[min\] and governing \[zhi\] the state \[guo\],","As the gate of the sky opens and closes, can you embody the flow of the feminine?",proportional
10,8,2,能無知乎？,néng wú zhī hū?,can you be without cunning/knowledge \[zhi\]?,"With an understanding that spans the four directions, can you be unknowing?",proportional
10,9,3,天門開闔，,"Tiān mén kāi hé,","Heaven's \[tian\] gates \[men\] opening \[kai\] and closing \[he\],","With an understanding that spans the four directions, can you be unknowing?",proportional-fill
10,10,3,能為雌乎？,néng wéi cí hū?,can you play the part of/be \[wei\] the female \[ci\]?,"Birthing and nourishing the countless things,",proportional
10,11,3,明白四達，,"Míng bái sì dá,","Understanding/clarity \[ming bai\] reaching all four directions \[si da\],","Giving birth without possessing,",proportional
10,12,3,能無為乎？,néng wú wéi hū?,can you act without doing/forcing \[wu wei\]?,"Giving birth without possessing,",proportional-fill
10,13,4,生之畜之，,"Shēng zhī xù zhī,","Generating/birthing \[sheng\] them, nourishing/rearing \[xu\] them,","Acting yet relying on nothing,",proportional
10,14,4,生而不有，,"shēng ér bù yǒu,","generating but \[er\] not possessing \[you\],",Leading without mastering –,proportional
10,15,4,為而不恃，,"wéi ér bù shì,","acting/doing \[wei\] but not relying \[shi\],",Leading without mastering –,proportional-fill
10,16,4,長而不宰，,"zhǎng ér bù zǎi,","growing/leading \[zhang\] but not dominating/ruling \[zai\],",This is called profound integrity.,proportional
10,17,4,是謂玄德。,shì wèi xuán dé.,this is called \[shi wei\] dark/mysterious \[xuan\] virtue/power \[de\].,This is called profound integrity.,proportional-fill
11,1,1,三十輻共一轂，,"Sān shí fú gòng yī gǔ,","Thirty \[san shi\] spokes \[fu\] share/unite \[gong\] in one \[yi\] hub \[gu\],",Thirty spokes meet in a single hub.,proportional
11,2,1,當其無，,"dāng qí wú,","just at \[dang\] its \[qi\] nothingness/void \[wu\],","Through the emptiness at its center, the cart can roll.",proportional
11,3,1,有車之用。,yǒu chē zhī yòng.,there is \[you\] the use/utility \[yong\] of the cart/chariot \[che\].,"Through the emptiness it contains,",proportional
11,4,2,埏埴以為器，,"Yán zhí yǐ wéi qì,","Kneading \[yan\] clay \[zhi\] to make/become \[yi wei\] a vessel \[qi\],","Through the emptiness it contains,",proportional-fill
11,5,2,當其無，,"dāng qí wú,","just at its nothingness/void \[wu\],",A clay vessel becomes useful.,proportional
11,6,2,有器之用。,yǒu qì zhī yòng.,there is the use/utility of the vessel \[qi\].,"Through the empty spaces cut into walls,",proportional
11,7,3,鑿戶牖以為室，,"Záo hù yǒu yǐ wéi shì,","Chiseling/cutting \[zao\] doors \[hu\] and windows \[you\] to make a room \[shi\],",A room becomes useful.,proportional
11,8,3,當其無，,"dāng qí wú,","just at its nothingness/void \[wu\],",A room becomes useful.,proportional-fill
11,9,3,有室之用。,yǒu shì zhī yòng.,there is the use/utility of the room \[shi\].,"Therefore, filled space creates potential.",proportional
11,10,4,故有之以為利，,"Gù yǒu zhī yǐ wéi lì,","Therefore \[gu\], presence/having \[you\] it \[zhi\] is used for/provides \[yi wei\] benefit/advantage \[li\],",Empty space makes things useful.,proportional
11,11,4,無之以為用。,wú zhī yǐ wéi yòng.,nothingness/absence \[wu\] of it is used for/provides utility/function \[yong\].,Empty space makes things useful.,proportional-fill
12,1,1,五色令人目盲；,Wǔ sè lìng rén mù máng;,Five \[wu\] colors \[se\] cause/make \[ling\] people's \[ren\] eyes \[mu\] blind \[mang\];,The full spectrum of colors makes the eyes blind.,proportional
12,2,1,五音令人耳聾；,Wǔ yīn lìng rén ěr lóng;,Five \[wu\] tones/notes \[yin\] cause \[ling\] people's \[ren\] ears \[er\] deaf \[long\];,The full spectrum of tones makes the ears deaf.,proportional
12,3,1,五味令人口爽；,Wǔ wèi lìng rén kǒu shuǎng;,Five \[wu\] flavors/tastes \[wei\] cause \[ling\] people's \[ren\] mouths \[kou\] dull/spoiled \[shuang\];,The full spectrum of flavors makes the palate dull.,proportional
12,4,2,馳騁畋獵，,"Chí chěng tián liè,","Galloping/racing \[chi cheng\] and hunting \[tian lie\],",Galloping in pursuit of prey makes the heart wild.,proportional
12,5,2,令人心發狂；,lìng rén xīn fā kuáng;,cause \[ling\] people's \[ren\] minds/hearts \[xin\] to go wild/mad \[fa kuang\];,Galloping in pursuit of prey makes the heart wild.,proportional-fill
12,6,2,難得之貨，,"Nán dé zhī huò,","Hard \[nan\] to obtain \[de\] goods/wealth \[huo\],",Rare goods make actions corrupt.,proportional
12,7,2,令人行妨。,lìng rén xíng fáng.,cause \[ling\] people's \[ren\] actions/conduct \[xing\] to be hindered/harmed \[fang\].,"Therefore the sage acts for the belly, not for the eye.",proportional
12,8,3,是以聖人為腹不為目，,"Shì yǐ shèng rén wèi fù bù wèi mù,","Therefore \[shi yi\] the Sage \[sheng ren\] acts for/provides for \[wei\] the belly/stomach \[fu\] not \[bu\] for \[wei\] the eyes \[mu\],",They let go of what is out there and take what is here.,proportional
12,9,3,故去彼取此。,Gù qù bǐ qǔ cǐ.,Therefore \[gu\] discards/rejects \[qu\] that \[bi\] and takes/chooses \[qu\] this \[ci\].,They let go of what is out there and take what is here.,proportional-fill
13,1,1,寵辱若驚，,"Chǒng rǔ ruò jīng,","Favor/glory \[chong\] and disgrace/humiliation \[ru\] seem like/cause \[ruo\] alarm/startlement \[jing\],",Both favor and disgrace cause alarm.,proportional
13,2,1,貴大患若身。,Guì dà huàn ruò shēn.,Valuing/honoring \[gui\] great \[da\] trouble/disaster \[huan\] is like \[ruo\] the body/self \[shen\].,Value misfortune as your own body.,proportional
13,3,2,何謂寵辱若驚？,Hé wèi chǒng rǔ ruò jīng?,What \[he\] is called/meant by \[wei\] favor and disgrace \[chong ru\] seem like \[ruo\] alarm \[jing\]?,What does it mean that favor and disgrace both cause alarm?,proportional
13,4,2,寵為下，,"Chǒng wéi xià,","Favor \[chong\] functions as/is \[wei\] lower/inferior \[xia\],",What does it mean that favor and disgrace both cause alarm?,proportional-fill
13,5,2,得之若驚，,"Dé zhī ruò jīng,","Obtaining/getting \[de\] it \[zhi\] seems like \[ruo\] alarm \[jing\],",You must stoop to receive favor.,proportional
13,6,2,失之若驚，,"Shī zhī ruò jīng,","Losing \[shi\] it \[zhi\] seems like \[ruo\] alarm \[jing\],",Receiving it causes alarm.,proportional
13,7,2,是謂寵辱若驚。,Shì wèi chǒng rǔ ruò jīng.,This \[shi\] is called \[wei\] favor and disgrace seem like alarm \[chong ru ruo jing\].,Losing it also causes alarm.,proportional
13,8,3,何謂貴大患若身？,Hé wèi guì dà huàn ruò shēn?,What \[he\] is called \[wei\] valuing great trouble \[gui da huan\] like \[ruo\] the body \[shen\]?,Losing it also causes alarm.,proportional-fill
13,9,3,吾所以有大患者，,"Wú suǒ yǐ yǒu dà huàn zhě,","The reason I \[wu suo yi\] have \[you\] great trouble \[da huan\] is \[zhe\],",This is why favor and disgrace both cause alarm.,proportional
13,10,3,為吾有身，,"Wèi wú yǒu shēn,","Because \[wei\] I \[wu\] have \[you\] a body/self \[shen\],",What does it mean to value misfortune as your own body?,proportional
13,11,3,及吾無身，,"Jí wú wú shēn,","When/if \[ji\] I \[wu\] have no \[wu\] body/self \[shen\],",I only experience misfortune because I have a body.,proportional
13,12,3,吾有何患？,Wú yǒu hé huàn?,What \[he\] trouble \[huan\] do I \[wu\] have \[you\]?,I only experience misfortune because I have a body.,proportional-fill
13,13,4,故貴以身為天下，,"Gù guì yǐ shēn wéi tiān xià,","Therefore \[gu\] one who values \[gui\] using \[yi\] their body \[shen\] to serve/act for \[wei\] the world \[tian xia\],","When the separate self dissolves, what troubles could I have?",proportional
13,14,4,若可寄天下；,Ruò kě jì tiān xià;,Seems \[ruo\] they can \[ke\] be entrusted \[ji\] with the world \[tian xia\];,"Therefore, one who values the world as their body can be entrusted with the world.",proportional
13,15,4,愛以身為天下，,"Ài yǐ shēn wéi tiān xià,","One who loves \[ai\] using \[yi\] their body \[shen\] to serve/act for \[wei\] the world \[tian xia\],",One who loves the whole world as their own body can truly care for it.,proportional
13,16,4,若可託天下。,Ruò kě tuō tiān xià.,Seems \[ruo\] they can \[ke\] be relied upon/entrusted \[tuo\] with the world \[tian xia\].,One who loves the whole world as their own body can truly care for it.,proportional-fill
14,1,1,視之不見，,"Shì zhī bù jiàn,","Looking at \[shi\] it \[zhi\] but not \[bu\] seeing \[jian\],","Look, but you cannot see it – its name is the invisible.",proportional
14,2,1,名曰夷；,míng yuē yí;,its name \[ming\] is called \[yue\] invisible/colorless \[yi\];,"Listen, but you cannot hear it – its name is the inaudible.",proportional
14,3,1,聽之不聞，,"Tīng zhī bù wén,","Listening to \[ting\] it \[zhi\] but not \[bu\] hearing \[wen\],","Reach, but you cannot grasp it – its name is the intangible.",proportional
14,4,1,名曰希；,míng yuē xī;,its name \[ming\] is called \[yue\] inaudible/soundless \[xi\];,These three defy comprehension.,proportional
14,5,1,搏之不得，,"Bó zhī bù dé,","Grasping/reaching for \[bo\] it \[zhi\] but not \[bu\] getting/obtaining \[de\],",These three defy comprehension.,proportional-fill
14,6,1,名曰微。,míng yuē wēi.,its name \[ming\] is called \[yue\] intangible/formless \[wei\].,"Therefore, they blend into one.",proportional
14,7,2,此三者不可致詰，,"Cǐ sān zhě bù kě zhì jié,","These \[ci\] three \[san\] things \[zhe\] cannot \[bu ke\] be fully probed/investigated \[zhi jie\],","It doesn’t have a bright top,",proportional
14,8,2,故混而為一。,Gù hùn ér wéi yī.,Therefore \[gu\] they blend/merge \[hun\] and \[er\] become \[wei\] one \[yi\].,Or a dark bottom.,proportional
14,9,3,其上不皦，,"Qí shàng bù jiǎo,","Its \[qi\] upper part/top \[shang\] is not \[bu\] bright/dazzling \[jiao\],",Or a dark bottom.,proportional-fill
14,10,3,其下不昧。,Qí xià bù mèi.,Its \[qi\] lower part/bottom \[xia\] is not \[bu\] dark/obscure \[mei\].,"Continuously flowing, it cannot be named",proportional
14,11,3,繩繩兮不可名，,"Shéng shéng xī bù kě míng,","Continuous/unbroken \[sheng sheng\] oh \[xi\]\! It cannot \[bu ke\] be named \[ming\],",And returns to no-thing.,proportional
14,12,3,復歸於無物。,Fù guī yú wú wù.,It reverts/returns \[fu gui\] to \[yu\] nothingness/non-entity \[wu wu\].,"This is the shape of no-shape, the image of no-thing.",proportional
14,13,4,是謂無狀之狀，,"Shì wèi wú zhuàng zhī zhuàng,","This \[shi\] is called \[wei\] the shape/form \[zhuang\] of no \[wu\] shape/form \[zhuang\],","This is the shape of no-shape, the image of no-thing.",proportional-fill
14,14,4,無物之象，,"Wú wù zhī xiàng,","The image/representation \[xiang\] of no \[wu\] entity/matter \[wu\],",This is called the elusive.,proportional
14,15,4,是謂惚恍。,Shì wèi hū huǎng.,This \[shi\] is called \[wei\] elusive and evasive/indistinct \[hu huang\].,"Meet it, and you cannot see its face,",proportional
14,16,5,迎之不見其首，,"Yíng zhī bù jiàn qí shǒu,","Meeting/welcoming \[ying\] it \[zhi\] you do not \[bu\] see \[jian\] its \[qi\] head/front \[shou\],","Follow it, and you cannot see its back.",proportional
14,17,5,隨之不見其後。,Suí zhī bù jiàn qí hòu.,Following \[sui\] it \[zhi\] you do not \[bu\] see \[jian\] its \[qi\] back/rear \[hou\].,"Follow it, and you cannot see its back.",proportional-fill
14,18,6,執古之道，,"Zhí gǔ zhī dào,","Grasping/holding \[zhi\] the ancient \[gu\] Tao \[dao\],","Hold the ancient Tao, and steer what is present now.",proportional
14,19,6,以御今之有。,Yǐ yù jīn zhī yǒu.,In order to \[yi\] manage/control \[yu\] present/current \[jin\] existence/presence \[you\].,"Know the primordial source,",proportional
14,20,6,能知古始，,"Néng zhī gǔ shǐ,","Being able to \[neng\] know \[zhi\] the ancient \[gu\] beginnings/origins \[shi\],",The thread of the Tao.,proportional
14,21,6,是謂道紀。,Shì wèi dào jì.,This \[shi\] is called \[wei\] the thread/discipline of the Tao \[dao ji\].,The thread of the Tao.,proportional-fill
15,1,1,古之善為士者，,"Gǔ zhī shàn wéi shì zhě,","The ancient \[gu\] ones who were masterful \[shan\] at being \[wei\] scholars/officers \[shi\],",The ancient masters,proportional
15,2,1,微妙玄通，,"Wēi miào xuán tōng,","Were microscopic/subtle \[wei\], highly-optimized/marvelous \[miao\], dark/profound \[xuan\], and penetrating/connected \[tong\],",Were subtle-fine and dark-penetrating —,proportional
15,3,1,深不可識。,Shēn bù kě shí.,So deep \[shen\] they could not \[bu ke\] be known/understood \[shi\].,Too deep to be fathomed.,proportional
15,4,2,夫唯不可識，,"Fū wéi bù kě shí,","Now precisely because \[fu wei\] they could not \[bu ke\] be known \[shi\],","Because they cannot be known, I can only force a description:",proportional
15,5,2,故強為之容：,Gù qiǎng wèi zhī róng:,Therefore \[gu\] I force/compel \[qiang\] a description/appearance \[rong\] for \[wei\] them \[zhi\]:,"Careful, like crossing a frozen river.",proportional
15,6,2,豫兮若冬涉川；,Yù xī ruò dōng shè chuān;,Hesitant/careful \[yu\] oh \[xi\]\! Like \[ruo\] crossing \[she\] a river \[chuan\] in winter \[dong\];,"Hesitant, as if wary of neighbors on four sides.",proportional
15,7,2,猶兮若畏四鄰；,Yóu xī ruò wèi sì lín;,Cautious/watchful \[you\] oh \[xi\]\! Like \[ruo\] fearing \[wei\] neighbors on all four sides \[si lin\];,"Dignified, like a guest.",proportional
15,8,2,儼兮其若客；,Yǎn xī qí ruò kè;,Reserved/dignified \[yan\] oh \[xi\]\! Like \[ruo\] a guest \[ke\];,"Yielding, like melting ice.",proportional
